Date,Open,High,Low,Close,Adj Close,Volume
2012-05-31,4.0,4.0,3.7,3.7,3.2327150000000002,1159709312
2012-06-01,3.7,3.72,3.3,3.3,2.883233,376302500
2012-06-05,3.28,3.36,3.04,3.04,2.656069,282165000
2012-06-06,3.12,3.32,3.1,3.24,2.83081,260005300
2012-06-07,3.3,3.38,3.12,3.12,2.725965,198174900
2012-06-08,3.14,3.18,3.12,3.14,2.743439,40641800
2012-06-11,3.2,3.32,3.18,3.28,2.865759,97382100
2012-06-12,3.22,3.5,3.22,3.46,3.0230259999999998,191659900
2012-06-13,3.46,3.48,3.36,3.36,2.935655,106480800
2012-06-14,3.36,3.38,3.28,3.32,2.900707,71738000
2012-06-15,3.36,3.48,3.34,3.42,2.988078,99295100
2012-06-18,3.48,3.48,3.36,3.36,2.935655,61209300
2012-06-19,3.38,3.44,3.38,3.4,2.970603,20310200
2012-06-20,3.44,3.52,3.42,3.44,3.0055520000000002,82848000
2012-06-21,3.44,3.46,3.4,3.4,2.970603,46381400
2012-06-22,3.38,3.4,3.36,3.4,2.970603,18605900
2012-06-25,3.44,3.46,3.38,3.38,2.953129,35635700
2012-06-26,3.4,3.44,3.38,3.38,2.953129,23395500
2012-06-27,3.4,3.48,3.4,3.44,3.0055520000000002,52023600
2012-06-28,3.44,3.46,3.38,3.42,2.988078,27832300
2012-06-29,3.42,3.44,3.4,3.4,2.970603,21202700
2012-07-02,3.42,3.44,3.38,3.38,2.953129,23706400
2012-07-03,3.4,3.42,3.36,3.38,2.953129,20744300
2012-07-04,3.42,3.62,3.38,3.6,3.1453439999999997,178994200
2012-07-05,3.64,3.72,3.6,3.7,3.2327150000000002,156498400
2012-07-06,3.68,3.7,3.62,3.66,3.197767,52171500
2012-07-09,3.66,3.66,3.62,3.64,3.180293,18972000
2012-07-10,3.66,3.76,3.64,3.74,3.267663,94271400
2012-07-11,3.72,3.74,3.68,3.68,3.215241,46644600
2012-07-12,3.64,3.66,3.56,3.56,3.1103959999999997,50355100
2012-07-13,3.58,3.68,3.56,3.64,3.180293,29259800
2012-07-16,3.68,3.74,3.66,3.68,3.215241,36926800
2012-07-17,3.7,3.7,3.66,3.68,3.215241,18721900
2012-07-18,3.68,3.68,3.62,3.68,3.215241,24800900
2012-07-19,3.68,3.74,3.64,3.66,3.197767,53955700
2012-07-20,3.68,3.68,3.62,3.62,3.162819,12708100
2012-07-23,3.58,3.58,3.52,3.54,3.092922,31265300
2012-07-24,3.54,3.58,3.52,3.52,3.0754479999999997,14487300
2012-07-25,3.54,3.54,3.4,3.46,3.0230259999999998,29066100
2012-07-26,3.48,3.56,3.48,3.5,3.057974,31491200
2012-07-27,3.56,3.58,3.5,3.52,3.0754479999999997,34617700
2012-07-30,3.54,3.56,3.48,3.48,3.0405,14566100
2012-07-31,3.5,3.52,3.42,3.42,2.988078,26383200
2012-08-01,3.44,3.48,3.38,3.42,2.988078,29671800
2012-08-03,3.42,3.44,3.4,3.42,2.988078,9801200
2012-08-06,3.46,3.52,3.42,3.52,3.0754479999999997,47452500
2012-08-07,3.58,3.62,3.52,3.54,3.092922,55463400
2012-08-08,3.56,3.58,3.52,3.54,3.092922,27786000
2012-08-09,3.6,3.72,3.52,3.56,3.1103959999999997,204372900
2012-08-10,3.54,3.56,3.42,3.46,3.0230259999999998,120963700
2012-08-14,3.5,3.58,3.46,3.56,3.1103959999999997,45571000
2012-08-15,3.56,3.64,3.56,3.6,3.1453439999999997,72006600
2012-08-16,3.64,3.66,3.58,3.6,3.1453439999999997,50334700
2012-08-17,3.62,3.64,3.5,3.52,3.0754479999999997,70339600
2012-08-20,3.52,3.56,3.5,3.56,3.1103959999999997,19496500
2012-08-21,3.56,3.58,3.52,3.54,3.092922,27267500
2012-08-22,3.54,3.58,3.5,3.52,3.0754479999999997,39214500
2012-08-23,3.54,3.56,3.5,3.52,3.0754479999999997,29499500
2012-08-24,3.5,3.54,3.46,3.46,3.0230259999999998,37165500
2012-08-27,3.5,3.5,3.42,3.44,3.0055520000000002,39221700
2012-08-28,3.44,3.46,3.42,3.42,2.988078,10747400
2012-08-29,3.44,3.48,3.44,3.46,3.0230259999999998,33776900
2012-08-30,3.48,3.48,3.42,3.44,3.0055520000000002,23051600
2012-08-31,3.44,3.48,3.42,3.46,3.0230259999999998,10608200
2012-09-03,3.46,3.48,3.44,3.46,3.0230259999999998,9016000
2012-09-04,3.48,3.48,3.44,3.44,3.0055520000000002,19367100
2012-09-05,3.44,3.46,3.4,3.42,2.988078,11466000
2012-09-06,3.46,3.46,3.42,3.44,3.0055520000000002,11607100
2012-09-07,3.46,3.58,3.44,3.5,3.057974,105695600
2012-09-10,3.52,3.54,3.48,3.5,3.057974,26515900
2012-09-11,3.48,3.6,3.48,3.52,3.0754479999999997,99747500
2012-09-12,3.54,3.7,3.54,3.66,3.197767,232221200
2012-09-13,3.68,3.72,3.6,3.62,3.162819,125573500
2012-09-14,3.7,3.82,3.66,3.8,3.320086,255317200
2012-09-17,3.8,3.82,3.7,3.74,3.267663,140938600
2012-09-18,3.74,3.84,3.74,3.84,3.355034,149486400
2012-09-19,3.86,4.08,3.82,3.98,3.477353,302841600
2012-09-20,3.98,4.06,3.94,3.94,3.4424050000000004,121360900
2012-09-21,3.98,4.14,3.96,4.14,3.617146,188761800
2012-09-24,4.16,4.22,4.04,4.1,3.5821980000000004,147607700
2012-09-25,4.12,4.24,4.1,4.22,3.687042,131812700
2012-09-26,4.18,4.22,4.08,4.14,3.617146,91687400
2012-09-27,4.16,4.32,4.14,4.28,3.739465,121754700
2012-09-28,4.3,4.34,4.26,4.28,3.739465,47651200
2012-10-01,4.3,4.44,4.28,4.36,3.809362,134953504
2012-10-02,4.38,4.44,4.34,4.42,3.8617839999999997,65920100
2012-10-03,4.42,4.44,4.3,4.4,3.8443110000000003,54039700
2012-10-04,4.42,4.46,4.36,4.36,3.809362,67704000
2012-10-05,4.38,4.4,4.26,4.34,3.7918870000000005,70704800
2012-10-08,4.34,4.36,4.26,4.36,3.809362,44564700
2012-10-09,4.34,4.42,4.32,4.38,3.826836,82413200
2012-10-10,4.36,4.66,4.34,4.66,4.071473999999999,234064500
2012-10-11,4.64,4.96,4.56,4.88,4.26369,236702600
2012-10-12,4.9,4.94,4.7,4.72,4.123896,154654700
2012-10-15,4.76,4.76,4.62,4.7,4.106422,65921200
2012-10-16,4.7,4.74,4.66,4.7,4.106422,54693100
2012-10-17,4.72,4.76,4.62,4.68,4.088948,81211600
2012-10-18,4.68,4.78,4.6,4.68,4.088948,100297400
2012-10-19,4.66,4.7,4.64,4.66,4.071473999999999,25805000
2012-10-22,4.64,4.68,4.62,4.66,4.071473999999999,12166200
2012-10-24,4.66,4.68,4.52,4.6,4.019051,36612700
2012-10-25,4.58,4.62,4.54,4.58,4.001576999999999,25114800
2012-10-26,4.56,4.56,4.4,4.52,3.949155,60298700
2012-10-29,4.5,4.52,4.44,4.48,3.9142069999999998,14494800
2012-10-30,4.48,4.62,4.46,4.62,4.036525,56470800
