Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.75,5.75,5.65,5.65,0.136399,1780000
2008-01-03,5.65,5.7,5.6,5.65,0.136399,1872000
2008-01-04,5.65,5.7,5.55,5.55,0.133985,1652000
2008-01-07,5.55,5.6,5.5,5.55,0.133985,1511000
2008-01-08,5.6,5.7,5.6,5.6,0.135192,2138000
2008-01-09,5.65,5.8,5.6,5.65,0.136399,2319000
2008-01-10,5.65,5.65,5.5,5.55,0.133985,4602000
2008-01-11,5.55,5.55,5.5,5.5,0.132778,4103000
2008-01-14,5.5,5.55,5.35,5.4,0.130364,3191000
2008-01-15,5.55,5.55,5.3,5.3,0.12795,3932000
2008-01-16,5.3,5.35,5.15,5.25,0.126743,6936000
2008-01-17,5.2,5.35,5.2,5.35,0.129157,3890000
2008-01-18,5.25,5.3,5.15,5.2,0.12553499999999998,5485000
2008-01-21,5.2,5.35,5.1,5.1,0.12312100000000001,9068000
2008-01-22,5.0,5.1,4.85,5.0,0.120707,6147000
2008-01-23,5.1,5.1,4.975,5.0,0.120707,12455000
2008-01-24,5.0,5.15,5.0,5.0,0.120707,4523000
2008-01-25,5.05,5.2,4.975,5.1,0.12312100000000001,13315000
2008-01-28,5.1,5.1,4.975,5.0,0.120707,11861000
2008-01-29,5.05,5.2,5.05,5.15,0.124328,2837000
2008-01-30,5.25,5.25,5.15,5.25,0.126743,9033000
2008-01-31,5.25,5.55,5.2,5.4,0.130364,15205000
2008-02-01,5.55,5.9,5.55,5.75,0.13881300000000002,14787000
2008-02-04,5.75,5.75,5.5,5.6,0.135192,14229000
2008-02-05,5.55,5.8,5.5,5.7,0.137606,7012000
2008-02-06,5.55,5.75,5.55,5.7,0.137606,7494000
2008-02-07,5.7,5.75,5.6,5.65,0.136399,3255000
2008-02-08,5.65,5.85,5.65,5.75,0.13881300000000002,10779000
2008-02-11,5.75,5.75,5.55,5.55,0.133985,6973000
2008-02-12,5.6,5.7,5.6,5.65,0.136399,8022000
2008-02-13,5.65,5.65,5.55,5.6,0.135192,14447000
2008-02-14,5.65,5.7,5.5,5.55,0.133985,18542000
2008-02-15,5.55,5.7,5.5,5.6,0.135192,22341000
2008-02-18,5.7,6.0,5.7,5.9,0.142434,34376000
2008-02-19,5.95,6.0,5.85,5.85,0.141227,16752000
2008-02-20,5.8,5.85,5.6,5.65,0.136399,11953000
2008-02-22,5.65,5.75,5.6,5.75,0.13881300000000002,22216000
2008-02-25,5.8,5.8,5.6,5.65,0.136399,17233000
2008-02-26,5.7,5.8,5.6,5.65,0.136399,15393000
2008-02-27,5.7,5.7,5.65,5.65,0.136399,3082000
2008-02-28,5.7,5.8,5.7,5.75,0.13881300000000002,32862000
2008-02-29,5.75,5.75,5.7,5.7,0.137606,7493000
2008-03-03,5.7,5.85,5.7,5.85,0.141227,28608000
2008-03-04,5.85,5.9,5.8,5.8,0.14002,10996000
2008-03-05,5.8,5.85,5.7,5.7,0.137606,7195000
2008-03-06,5.75,5.8,5.65,5.7,0.137606,22241000
2008-03-07,5.65,5.75,5.6,5.65,0.136399,10213000
2008-03-10,5.65,5.7,5.6,5.7,0.137606,6807000
2008-03-11,5.7,5.7,5.6,5.65,0.136399,19999000
2008-03-12,5.75,5.8,5.7,5.75,0.13881300000000002,14793000
2008-03-13,5.7,5.75,5.65,5.65,0.136399,2254000
2008-03-14,5.7,5.7,5.65,5.65,0.136399,2843000
2008-03-17,5.55,5.65,5.5,5.55,0.133985,9196000
2008-03-18,5.5,5.65,5.5,5.65,0.136399,5877000
2008-03-19,5.7,5.7,5.65,5.7,0.137606,7010000
2008-03-20,5.6,5.7,5.6,5.6,0.135192,1656000
2008-03-21,5.6,5.7,5.55,5.7,0.137606,4764000
2008-03-24,5.7,5.7,5.6,5.7,0.137606,850000
