Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.375,3.375,3.25,3.25,0.671184,3006000
2008-01-03,3.225,3.275,3.2,3.275,0.676347,5436000
2008-01-04,3.325,3.35,3.3,3.325,0.686673,3700000
2008-01-07,3.3,3.325,3.25,3.3,0.6815100000000001,3781000
2008-01-08,3.275,3.3,3.25,3.3,0.6815100000000001,1278000
2008-01-09,3.275,3.325,3.25,3.275,0.676347,1591000
2008-01-10,3.325,3.325,3.3,3.3,0.6815100000000001,2279000
2008-01-11,3.3,3.3,3.3,3.3,0.6815100000000001,2434000
2008-01-14,3.275,3.3,3.275,3.3,0.6815100000000001,4781000
2008-01-15,3.3,3.3,3.175,3.175,0.655695,2019000
2008-01-16,3.175,3.175,3.025,3.1,0.640206,6598000
2008-01-17,3.1,3.15,3.1,3.15,0.650532,5146000
2008-01-18,3.15,3.175,3.1,3.15,0.650532,632000
2008-01-21,3.2,3.2,3.0,3.025,0.624718,6365000
2008-01-22,2.95,3.0,2.95,2.95,0.609229,5477000
2008-01-23,3.0,3.025,2.85,2.875,0.5937399999999999,9628000
2008-01-24,2.9,2.925,2.875,2.875,0.5937399999999999,3143000
2008-01-25,2.9,3.025,2.875,3.0,0.619555,4256000
2008-01-28,2.95,2.95,2.875,2.9,0.598903,2250000
2008-01-29,2.95,2.95,2.85,2.85,0.588577,4989000
2008-01-30,2.85,2.875,2.8,2.85,0.588577,5384000
2008-01-31,2.85,2.9,2.825,2.85,0.588577,4255000
2008-02-01,2.9,3.025,2.9,2.975,0.614392,8093000
2008-02-04,3.025,3.075,2.875,2.875,0.5937399999999999,13736000
2008-02-05,2.875,2.875,2.825,2.85,0.588577,8311000
2008-02-06,2.825,2.9,2.825,2.875,0.5937399999999999,3166000
2008-02-07,2.85,2.9,2.85,2.9,0.598903,2070000
2008-02-08,2.925,2.975,2.925,2.975,0.614392,3509000
2008-02-11,2.975,3.025,2.975,3.0,0.619555,5887000
2008-02-12,3.0,3.05,3.0,3.05,0.62988,4159000
2008-02-13,3.1,3.1,3.025,3.075,0.635043,3188000
2008-02-14,3.15,3.25,3.15,3.25,0.671184,14021000
2008-02-15,3.225,3.225,3.15,3.225,0.666021,4623000
2008-02-18,3.225,3.25,3.2,3.225,0.666021,4231000
2008-02-19,3.225,3.25,3.2,3.25,0.671184,4486000
2008-02-20,3.275,3.275,3.2,3.2,0.660858,5897000
2008-02-22,3.2,3.275,3.2,3.275,0.676347,4180000
2008-02-25,3.275,3.275,3.25,3.25,0.671184,2053000
2008-02-26,3.275,3.3,3.225,3.275,0.676347,5492000
2008-02-27,3.275,3.4,3.275,3.4,0.702162,10382000
2008-02-28,3.4,3.4,3.375,3.4,0.702162,6657000
2008-02-29,3.375,3.4,3.275,3.35,0.691836,6821000
2008-03-03,3.3,3.375,3.3,3.375,0.6969989999999999,2725000
2008-03-04,3.375,3.375,3.325,3.325,0.686673,2023000
2008-03-05,3.35,3.35,3.3,3.3,0.6815100000000001,2078000
2008-03-06,3.25,3.3,3.25,3.275,0.7971229999999999,1946000
2008-03-07,3.3,3.3,3.25,3.275,0.7971229999999999,2820000
2008-03-10,3.275,3.275,3.2,3.2,0.7788689999999999,3558000
2008-03-11,3.2,3.2,3.125,3.15,0.766699,5365000
2008-03-12,3.2,3.2,3.125,3.125,0.760614,5285000
2008-03-13,3.125,3.175,3.125,3.175,0.772784,2849000
2008-03-14,3.175,3.2,3.175,3.2,0.7788689999999999,2917000
2008-03-17,3.175,3.175,3.125,3.15,0.766699,5822000
2008-03-18,3.125,3.15,3.1,3.1,0.754529,7562000
2008-03-19,3.175,3.175,3.15,3.175,0.772784,3980000
2008-03-20,3.175,3.175,3.125,3.15,0.766699,4286000
2008-03-21,3.15,3.15,3.125,3.15,0.766699,2851000
2008-03-24,3.15,3.175,3.125,3.175,0.772784,3159000
2008-03-25,3.175,3.175,3.175,3.175,0.772784,5164000
2008-03-26,3.175,3.2,3.175,3.175,0.772784,3892000
2008-03-27,3.2,3.2,3.175,3.175,0.772784,5346000
2008-03-28,3.175,3.25,3.175,3.225,0.784953,14117000
2008-03-31,3.225,3.225,3.175,3.175,0.772784,1881000
2008-04-01,3.175,3.175,3.175,3.175,0.772784,6467000
2008-04-02,3.175,3.2,3.175,3.175,0.772784,9419000
2008-04-03,3.175,3.25,3.175,3.225,0.784953,2734000
2008-04-04,3.225,3.25,3.2,3.25,0.791038,1459000
2008-04-08,3.275,3.3,3.25,3.275,0.7971229999999999,4853000
2008-04-09,3.3,3.3,3.25,3.25,0.791038,1978000
2008-04-10,3.275,3.35,3.275,3.325,0.809293,6629000
2008-04-11,3.3,3.35,3.3,3.35,0.8153779999999999,1622000
2008-04-16,3.35,3.375,3.325,3.325,0.809293,4199000
2008-04-17,3.325,3.35,3.3,3.3,0.803208,7682000
2008-04-18,3.325,3.325,3.3,3.325,0.809293,2357000
2008-04-21,3.35,3.425,3.325,3.35,0.8153779999999999,39751000
2008-04-22,3.4,3.475,3.4,3.45,0.8397180000000001,13864000
2008-04-23,3.45,3.45,3.425,3.425,0.833633,3890000
2008-04-24,3.425,3.45,3.4,3.45,0.8397180000000001,3084000
2008-04-25,3.45,3.5,3.425,3.5,0.8518879999999999,4302000
2008-04-28,3.5,3.5,3.45,3.475,0.8458030000000001,1866000
2008-04-29,3.475,3.55,3.475,3.525,0.857973,5841000
2008-04-30,3.525,3.575,3.525,3.55,0.864057,5421000
2008-05-02,3.55,3.7,3.55,3.7,0.900567,10746000
2008-05-06,3.725,3.8,3.725,3.775,0.9188219999999999,20289000
2008-05-07,3.775,3.8,3.725,3.775,0.9188219999999999,18377000
2008-05-08,3.775,3.8,3.775,3.775,0.9188219999999999,9308000
2008-05-09,3.775,3.775,3.75,3.75,0.9127370000000001,15144000
2008-05-12,3.7,3.9,3.7,3.875,0.943161,16818000
2008-05-13,3.875,3.925,3.875,3.875,0.943161,11647000
2008-05-14,3.875,3.9,3.875,3.9,0.9492459999999999,9651000
2008-05-15,3.9,3.95,3.9,3.925,0.9553309999999999,16583000
2008-05-16,3.925,3.975,3.925,3.95,0.9614159999999999,7762000
2008-05-20,3.95,3.95,3.95,3.95,0.9614159999999999,13630000
2008-05-21,3.95,3.975,3.8,3.85,0.937076,13292000
2008-05-22,3.85,3.85,3.775,3.775,0.9188219999999999,7988000
2008-05-23,3.775,3.925,3.775,3.9,0.9492459999999999,6905000
2008-05-26,3.85,3.95,3.8,3.875,0.943161,5330000
2008-05-27,3.9,3.975,3.9,3.975,0.967501,11527000
2008-05-28,3.975,4.025,3.95,3.975,0.967501,18255000
2008-05-29,4.0,4.0,3.925,3.95,0.9614159999999999,10999000
2008-05-30,3.95,3.95,3.9,3.925,0.9553309999999999,4929000
2008-06-02,3.925,3.925,3.775,3.775,0.9188219999999999,9880000
2008-06-03,3.7,3.9,3.7,3.9,0.9492459999999999,4214000
2008-06-04,3.875,3.9,3.825,3.825,0.930991,4755000
2008-06-05,3.9,3.9,3.775,3.875,0.943161,11830000
2008-06-06,3.85,3.875,3.825,3.85,0.937076,8013000
2008-06-09,3.825,3.85,3.8,3.8,0.9249059999999999,3712000
2008-06-10,3.825,3.9,3.825,3.9,0.9492459999999999,5306000
2008-06-11,3.9,3.925,3.825,3.875,0.943161,2860000
2008-06-12,3.875,3.875,3.8,3.8,0.9249059999999999,2347000
2008-06-13,3.8,3.85,3.8,3.825,0.930991,2359000
2008-06-16,3.825,3.875,3.8,3.875,0.943161,2479000
2008-06-17,3.875,3.875,3.825,3.85,0.937076,803000
2008-06-18,3.85,3.85,3.8,3.825,0.930991,7992000
2008-06-19,3.825,3.825,3.6,3.7,0.900567,8331000
2008-06-20,3.675,3.875,3.625,3.875,0.943161,5038000
2008-06-23,3.8,3.825,3.725,3.725,0.906652,1820000
2008-06-24,3.725,3.725,3.65,3.675,0.894482,3750000
2008-06-25,3.7,3.725,3.65,3.65,0.8883969999999999,2767000
2008-06-26,3.675,3.675,3.625,3.65,0.8883969999999999,6281000
2008-06-27,3.6,3.75,3.6,3.725,0.906652,5586000
2008-06-30,3.825,3.825,3.75,3.8,0.9249059999999999,6205000
2008-07-02,3.8,3.8,3.75,3.775,0.9188219999999999,6149000
2008-07-03,3.725,3.8,3.725,3.8,0.9249059999999999,2803000
2008-07-04,3.8,3.8,3.775,3.8,0.9249059999999999,2412000
2008-07-07,3.8,3.8,3.775,3.8,0.9249059999999999,4059000
2008-07-08,3.775,3.8,3.75,3.8,0.9249059999999999,988000
2008-07-09,3.775,3.8,3.775,3.8,0.9249059999999999,1991000
2008-07-10,3.775,3.825,3.75,3.825,0.930991,5351000
2008-07-11,3.825,4.05,3.825,3.95,0.9614159999999999,19722000
2008-07-14,3.975,3.975,3.85,3.875,0.943161,1602000
2008-07-15,3.85,3.85,3.7,3.7,0.900567,4970000
2008-07-16,3.7,3.875,3.7,3.775,0.9188219999999999,3289000
2008-07-18,3.775,3.825,3.775,3.8,0.9249059999999999,5542000
2008-07-21,3.8,3.825,3.775,3.8,0.9249059999999999,11518000
2008-07-22,3.775,3.8,3.75,3.775,0.9188219999999999,1369000
2008-07-23,3.775,3.8,3.725,3.75,0.9127370000000001,2817000
2008-07-24,3.75,3.75,3.55,3.6,0.8762270000000001,11650000
2008-07-25,3.525,3.575,3.525,3.575,0.870142,6976000
2008-07-28,3.525,3.6,3.525,3.6,0.8762270000000001,930000
2008-07-29,3.6,3.6,3.55,3.6,0.8762270000000001,1334000
2008-07-30,3.6,3.75,3.6,3.725,0.906652,5137000
2008-07-31,3.775,3.8,3.75,3.775,0.9188219999999999,5538000
2008-08-01,3.75,3.825,3.75,3.825,0.930991,2304000
2008-08-04,3.825,3.825,3.75,3.775,0.9188219999999999,168000
2008-08-05,3.75,3.8,3.75,3.8,0.9249059999999999,2011000
2008-08-06,3.775,3.775,3.75,3.75,0.9127370000000001,569000
2008-08-07,3.75,3.775,3.725,3.75,0.9127370000000001,6069000
2008-08-08,3.75,3.75,3.675,3.7,0.900567,1168000
2008-08-11,3.7,3.7,3.55,3.55,0.864057,18190000
2008-08-13,3.55,3.65,3.55,3.625,0.8823120000000001,2091000
2008-08-14,3.625,3.725,3.625,3.725,0.906652,11783000
2008-08-15,3.75,3.75,3.675,3.725,0.906652,5185000
2008-08-18,3.725,3.75,3.7,3.7,0.900567,1463000
2008-08-19,3.7,3.7,3.625,3.65,0.8883969999999999,1845000
2008-08-20,3.675,3.7,3.625,3.7,0.900567,4133000
2008-08-21,3.7,3.7,3.675,3.675,0.894482,1405000
2008-08-22,3.625,3.65,3.6,3.65,0.8883969999999999,1097000
2008-08-25,3.65,3.65,3.625,3.625,0.8823120000000001,336000
2008-08-26,3.575,3.675,3.575,3.675,0.894482,1376000
2008-08-27,3.675,3.675,3.625,3.675,0.894482,1712000
2008-08-28,3.675,3.675,3.625,3.675,0.894482,3406000
