Date,Open,High,Low,Close,Adj Close,Volume
2017-07-19,17.0,17.200001,16.5,16.9,16.606742999999998,254761300
2017-07-20,16.9,18.299999,16.799999,18.0,17.687653,204815800
2017-07-21,18.0,19.0,17.9,18.9,18.572036999999998,206459100
2017-07-24,19.200001,19.4,18.5,18.700001,18.375507,131819200
2017-07-25,18.799999,18.799999,18.1,18.200001,17.884186,64792000
2017-07-26,18.299999,18.9,18.200001,18.799999,18.473772,76505300
2017-07-27,18.6,18.700001,18.1,18.299999,17.982447,38031600
2017-07-31,18.299999,18.4,18.0,18.299999,17.982447,29813000
2017-08-01,18.299999,18.4,18.1,18.200001,17.884186,11894600
2017-08-02,18.200001,18.6,18.1,18.299999,17.982447,33373700
2017-08-03,18.299999,18.299999,18.1,18.1,17.785919,13805700
2017-08-04,18.1,18.4,18.0,18.1,17.785919,19060100
2017-08-07,18.200001,18.200001,17.4,17.4,17.098064,47305700
2017-08-08,17.4,17.9,17.4,17.9,17.589389999999998,30180800
2017-08-09,17.9,17.9,17.5,17.5,17.196331,9347200
2017-08-10,17.5,17.700001,17.4,17.700001,17.39286,7443300
2017-08-11,17.5,17.6,17.4,17.4,17.098064,6676400
2017-08-15,17.5,17.700001,17.4,17.6,17.294596,7071900
2017-08-16,17.700001,18.799999,17.6,18.799999,18.473772,54775200
2017-08-17,18.9,19.0,18.299999,18.5,18.178978,62648400
2017-08-18,18.5,18.9,18.5,18.700001,18.375507,26254400
2017-08-21,18.700001,19.5,18.700001,19.5,19.161625,92935500
2017-08-22,19.5,19.799999,19.200001,19.200001,18.866833,47511100
2017-08-23,19.299999,19.299999,18.9,19.299999,18.965096,21793900
2017-08-24,19.4,19.4,19.0,19.1,18.768566,12155900
2017-08-25,19.1,19.5,19.0,19.200001,18.866833,17446200
2017-08-28,19.1,19.1,19.1,19.1,18.768566,2560800
2017-08-29,19.200001,20.5,19.1,20.200001,19.84948,87509200
2017-08-30,20.200001,20.799999,20.0,20.6,20.242538,47829200
2017-08-31,20.5,21.299999,20.4,20.6,20.242538,59716800
2017-09-01,20.6,21.1,20.6,20.9,20.537333,24761700
2017-09-04,21.0,22.1,21.0,21.799999,21.421713,77588800
2017-09-05,21.9,23.6,21.700001,22.799999,22.404362,68361400
2017-09-06,23.0,23.200001,22.4,22.4,22.011303,31262600
2017-09-07,22.200001,22.700001,22.200001,22.299999,21.913038,21127500
2017-09-08,22.5,23.1,22.5,22.700001,22.306097,37016700
2017-09-11,22.799999,22.9,22.299999,22.299999,21.913038,18820200
2017-09-12,22.5,22.799999,22.200001,22.799999,22.404362,26378100
2017-09-13,22.799999,23.4,22.700001,22.9,22.502626,40751100
2017-09-14,22.9,23.0,22.6,22.799999,22.404362,13780100
2017-09-15,22.799999,23.299999,22.6,22.9,22.502626,26634700
2017-09-18,22.9,23.200001,22.799999,22.799999,22.404362,15240800
2017-09-19,22.9,23.0,22.5,22.700001,22.306097,13576200
2017-09-20,22.700001,22.9,22.299999,22.5,22.109568,25098800
2017-09-21,22.6,22.799999,22.4,22.799999,22.404362,13866500
2017-09-22,22.799999,23.1,22.4,22.4,22.011303,22087100
2017-09-25,22.4,22.799999,22.4,22.5,22.109568,7090500
2017-09-26,22.6,22.6,22.299999,22.299999,21.913038,6232700
2017-09-27,22.4,22.4,21.5,21.6,21.225185,21421000
2017-09-28,21.700001,22.1,21.6,21.9,21.519979,13268200
2017-09-29,22.0,22.5,21.9,22.200001,21.814775,12419900
2017-10-02,22.4,22.5,21.799999,21.9,21.519979,14931700
2017-10-03,22.0,22.6,22.0,22.6,22.207834,22097700
2017-10-04,23.0,24.1,22.9,24.1,23.681804999999997,100479400
2017-10-05,24.1,25.0,23.799999,24.700001,24.271393,81421300
2017-10-06,24.700001,25.25,24.5,25.0,24.566187,34852200
2017-10-09,25.0,25.25,24.200001,24.299999,23.878334,36926900
2017-10-10,24.5,24.6,23.9,24.4,23.976597,37755800
2017-10-11,24.6,24.9,24.299999,24.4,23.976597,31918100
2017-10-12,24.5,24.5,24.200001,24.299999,23.878334,7377800
2017-10-16,24.6,24.6,24.6,24.6,24.173128,2073700
2017-10-17,24.6,26.0,24.5,25.75,25.303173,50100300
2017-10-18,25.5,26.0,25.25,25.25,24.811848,26982600
2017-10-19,25.25,26.25,24.799999,25.25,24.811848,48719000
2017-10-20,25.25,25.75,25.0,25.25,24.811848,18772300
2017-10-24,25.5,27.0,25.25,27.0,26.531483,40962200
2017-10-25,27.0,27.75,26.75,27.25,26.777143,33057100
2017-10-27,27.5,28.0,27.5,27.75,27.268466999999998,14366500
2017-10-30,28.0,29.25,28.0,28.5,28.005453000000003,43216800
2017-10-31,28.25,28.5,27.75,28.0,27.514129999999998,24014500
2017-11-01,28.0,28.5,27.0,27.25,26.777143,26818400
2017-11-02,27.25,28.0,27.0,27.5,27.022803999999997,25119900
2017-11-03,27.5,28.25,27.25,27.25,26.777143,24613000
2017-11-06,27.5,28.5,27.25,28.25,27.759790000000002,22765300
2017-11-07,28.5,29.25,28.25,28.25,27.759790000000002,31118900
2017-11-08,28.25,28.75,27.75,28.5,28.005453000000003,21953200
2017-11-09,28.75,29.25,28.25,28.75,28.251114,27017800
2017-11-10,28.75,29.0,28.0,28.0,27.514129999999998,15076400
2017-11-13,28.0,28.25,26.5,27.0,26.531483,21588300
2017-11-14,26.75,27.75,26.75,27.5,27.022803999999997,9776700
2017-11-15,27.5,27.5,26.0,26.0,25.548834,18343300
2017-11-16,26.25,27.0,26.25,26.5,26.040157,14323100
2017-11-17,26.75,27.25,26.75,27.0,26.531483,21415300
2017-11-20,27.0,27.25,26.0,26.25,25.794495,13175200
2017-11-21,26.5,26.5,26.5,26.5,26.040157,11975500
2017-11-22,26.5,28.25,26.5,27.5,27.022803999999997,51770900
2017-11-23,27.5,27.75,26.75,27.0,26.531483,18760100
2017-11-24,26.75,27.0,26.0,26.25,25.794495,14329100
2017-11-27,26.0,26.25,25.0,25.5,25.05751,31572200
2017-11-28,25.5,26.25,25.25,26.0,25.548834,23823500
2017-11-29,26.25,26.75,26.0,26.0,25.548834,22098600
2017-11-30,26.25,26.75,26.0,26.5,26.040157,32388700
2017-12-01,26.25,26.75,26.0,26.0,25.548834,12013700
2017-12-04,26.25,26.25,25.0,25.5,25.05751,27499300
2017-12-06,25.5,25.5,24.5,24.700001,24.271393,28397800
2017-12-07,24.700001,25.5,24.700001,25.5,25.05751,16731800
2017-12-08,25.75,26.25,25.25,26.25,25.794495,15257000
2017-12-12,26.25,26.25,25.5,25.75,25.303173,7846100
2017-12-13,25.75,26.0,25.5,26.0,25.548834,6303600
2017-12-14,26.0,26.5,25.75,26.0,25.548834,9727400
2017-12-15,26.0,26.25,25.75,26.0,25.548834,25771500
2017-12-18,26.25,26.75,26.0,26.75,26.28582,19672900
2017-12-19,26.75,27.25,26.5,26.75,26.28582,19038400
2017-12-20,27.0,27.0,26.25,26.25,25.794495,9915900
2017-12-21,26.5,26.75,26.25,26.5,26.040157,7988200
2017-12-22,26.75,28.25,26.75,28.25,27.759790000000002,65896200
2017-12-25,28.25,29.25,28.0,29.25,28.742437,26080400
2017-12-26,29.25,29.5,28.5,29.0,28.496777,42339500
2017-12-27,29.0,30.25,28.75,29.25,28.742437,61475000
2017-12-28,29.25,29.25,28.0,28.5,28.005453000000003,33063300
2017-12-29,28.75,29.25,28.5,28.75,28.251114,12331400
2018-01-03,29.5,30.5,29.5,30.25,29.725084000000003,43991600
2018-01-04,30.5,30.75,29.5,30.5,29.970746999999996,31090000
2018-01-05,30.75,31.5,30.5,31.0,30.462071999999996,55945100
2018-01-08,31.0,31.5,30.5,30.5,29.970746999999996,24882300
2018-01-09,30.5,30.5,30.5,30.5,29.970746999999996,1229100
2018-01-10,30.5,31.75,30.25,31.5,30.953394,41401300
2018-01-11,31.25,32.0,30.75,32.0,31.444719,28112500
2018-01-12,32.25,33.0,31.75,32.5,31.936042999999998,45845500
