Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,0.77,0.77,0.75,0.76,0.587021,1328200
2008-01-03,0.75,0.77,0.75,0.76,0.587021,8609700
2008-01-04,0.77,0.78,0.76,0.77,0.594745,12985800
2008-01-07,0.77,0.79,0.76,0.78,0.6024689999999999,26750400
2008-01-08,0.78,0.8,0.77,0.78,0.6024689999999999,9341400
2008-01-09,0.78,0.78,0.77,0.77,0.594745,21164300
2008-01-10,0.77,0.77,0.75,0.75,0.5792970000000001,7236500
2008-01-11,0.75,0.76,0.73,0.73,0.5638489999999999,5346600
2008-01-14,0.73,0.74,0.72,0.73,0.5638489999999999,12801300
2008-01-15,0.74,0.75,0.73,0.73,0.5638489999999999,9099300
2008-01-16,0.73,0.73,0.71,0.72,0.556125,10291500
2008-01-17,0.72,0.75,0.71,0.74,0.571573,12030200
2008-01-18,0.73,0.76,0.73,0.75,0.5792970000000001,17760800
2008-01-21,0.75,0.76,0.72,0.72,0.556125,9993300
2008-01-22,0.72,0.73,0.7,0.72,0.556125,13407900
2008-01-23,0.73,0.74,0.7,0.71,0.548401,7274700
2008-01-24,0.71,0.73,0.7,0.7,0.5406770000000001,2817700
2008-01-25,0.71,0.72,0.7,0.71,0.548401,6407900
2008-01-28,0.7,0.71,0.69,0.69,0.532953,3505100
2008-01-29,0.7,0.71,0.69,0.7,0.5406770000000001,1551900
2008-01-30,0.71,0.72,0.7,0.71,0.548401,2699700
2008-01-31,0.71,0.72,0.7,0.71,0.548401,11740000
2008-02-01,0.72,0.77,0.72,0.76,0.587021,53410500
2008-02-04,0.76,0.77,0.74,0.74,0.571573,13025000
2008-02-05,0.74,0.76,0.74,0.75,0.5792970000000001,3724800
2008-02-06,0.74,0.74,0.73,0.73,0.5638489999999999,4009700
2008-02-07,0.73,0.78,0.72,0.75,0.5792970000000001,27281700
2008-02-08,0.76,0.76,0.75,0.75,0.5792970000000001,5022500
2008-02-11,0.75,0.77,0.75,0.76,0.587021,7901500
2008-02-12,0.76,0.77,0.76,0.76,0.587021,6152200
2008-02-13,0.77,0.78,0.76,0.76,0.587021,7768500
2008-02-14,0.77,0.78,0.76,0.76,0.587021,13428200
2008-02-15,0.76,0.76,0.73,0.74,0.571573,10791200
2008-02-18,0.75,0.76,0.74,0.75,0.5792970000000001,3174000
2008-02-19,0.75,0.76,0.74,0.74,0.571573,6464100
2008-02-20,0.74,0.76,0.74,0.74,0.571573,14642000
2008-02-22,0.74,0.75,0.73,0.73,0.5638489999999999,4828800
2008-02-25,0.74,0.74,0.73,0.73,0.5638489999999999,6078000
2008-02-26,0.74,0.74,0.71,0.72,0.556125,12600600
2008-02-27,0.73,0.74,0.72,0.72,0.556125,5608200
2008-02-28,0.73,0.74,0.72,0.72,0.556125,13125600
2008-02-29,0.72,0.74,0.71,0.73,0.5638489999999999,12051100
2008-03-03,0.73,0.75,0.73,0.74,0.571573,18422900
2008-03-04,0.75,0.77,0.74,0.74,0.571573,39968700
2008-03-05,0.75,0.75,0.73,0.74,0.571573,7352300
2008-03-06,0.74,0.75,0.73,0.73,0.5638489999999999,5103000
2008-03-07,0.73,0.74,0.73,0.73,0.5638489999999999,5372000
2008-03-10,0.72,0.73,0.7,0.7,0.5406770000000001,18075000
2008-03-11,0.7,0.72,0.7,0.71,0.548401,9464600
2008-03-12,0.72,0.73,0.71,0.72,0.556125,10667700
2008-03-13,0.72,0.72,0.7,0.7,0.5406770000000001,10858700
2008-03-14,0.7,0.72,0.7,0.71,0.548401,17800500
2008-03-17,0.7,0.71,0.69,0.7,0.5406770000000001,8148300
2008-03-18,0.7,0.71,0.69,0.7,0.5406770000000001,13268600
2008-03-19,0.7,0.73,0.69,0.7,0.5406770000000001,39652100
2008-03-20,0.7,0.7,0.69,0.7,0.5406770000000001,11044500
2008-03-21,0.7,0.71,0.7,0.7,0.5406770000000001,5715900
2008-03-24,0.7,0.7,0.68,0.69,0.532953,12856500
2008-03-25,0.69,0.7,0.69,0.7,0.5406770000000001,9791500
2008-03-26,0.7,0.7,0.69,0.69,0.532953,8479400
2008-03-27,0.69,0.71,0.69,0.7,0.5406770000000001,46900600
2008-03-28,0.7,0.71,0.69,0.7,0.5406770000000001,14616900
2008-03-31,0.7,0.7,0.69,0.69,0.532953,7525900
2008-04-01,0.7,0.7,0.69,0.7,0.5406770000000001,5083300
2008-04-02,0.7,0.72,0.69,0.7,0.5406770000000001,102420500
2008-04-03,0.71,0.72,0.7,0.71,0.548401,138189700
2008-04-04,0.72,0.79,0.72,0.78,0.6024689999999999,208044900
2008-04-08,0.78,0.78,0.73,0.74,0.571573,190222400
2008-04-09,0.74,0.75,0.71,0.71,0.548401,97802100
2008-04-10,0.71,0.73,0.71,0.71,0.548401,50377200
2008-04-11,0.71,0.72,0.71,0.72,0.556125,11559900
2008-04-16,0.73,0.73,0.71,0.71,0.548401,13792700
2008-04-17,0.72,0.73,0.71,0.71,0.548401,31132000
2008-04-18,0.72,0.73,0.7,0.71,0.548401,91230000
2008-04-21,0.72,0.73,0.71,0.72,0.556125,90745000
2008-04-22,0.73,0.75,0.72,0.73,0.5638489999999999,136365700
2008-04-23,0.75,0.77,0.73,0.75,0.5792970000000001,113183900
2008-04-24,0.76,0.77,0.73,0.74,0.571573,35690600
2008-04-25,0.74,0.75,0.73,0.74,0.571573,37083900
2008-04-28,0.7,0.7,0.69,0.7,0.5406770000000001,30376800
2008-04-29,0.7,0.71,0.67,0.68,0.525229,31804200
2008-04-30,0.69,0.69,0.67,0.68,0.525229,19819600
2008-05-02,0.68,0.68,0.66,0.67,0.517505,42645100
2008-05-06,0.67,0.68,0.66,0.66,0.509781,19526100
2008-05-07,0.66,0.67,0.65,0.66,0.509781,12574800
2008-05-08,0.66,0.67,0.65,0.66,0.509781,8881200
2008-05-09,0.66,0.67,0.64,0.64,0.49433299999999997,23686900
2008-05-12,0.65,0.65,0.63,0.63,0.486609,16686600
2008-05-13,0.63,0.66,0.63,0.65,0.502057,17200200
2008-05-14,0.65,0.66,0.64,0.65,0.502057,5862300
2008-05-15,0.65,0.66,0.65,0.66,0.509781,16334900
2008-05-16,0.67,0.67,0.64,0.65,0.502057,16110100
2008-05-20,0.66,0.66,0.63,0.63,0.486609,18954700
2008-05-21,0.63,0.65,0.63,0.64,0.49433299999999997,8427200
2008-05-22,0.63,0.65,0.63,0.64,0.49433299999999997,7843800
2008-05-23,0.64,0.67,0.64,0.64,0.49433299999999997,32006500
2008-05-26,0.64,0.65,0.63,0.63,0.486609,15656900
2008-05-27,0.63,0.64,0.63,0.64,0.49433299999999997,10088900
2008-05-28,0.64,0.64,0.62,0.62,0.47888500000000006,12268300
2008-05-29,0.62,0.63,0.59,0.61,0.47116099999999994,38563100
2008-05-30,0.61,0.62,0.6,0.6,0.463437,10119600
2008-06-02,0.62,0.63,0.59,0.6,0.463437,31517400
2008-06-03,0.6,0.61,0.59,0.59,0.45571300000000003,14482300
2008-06-04,0.59,0.6,0.59,0.59,0.45571300000000003,17989
2008-06-05,0.59,0.6,0.58,0.59,0.45571300000000003,17535
2008-06-06,0.6,0.6,0.58,0.59,0.45571300000000003,16096900
2008-06-09,0.58,0.59,0.58,0.58,0.447989,7173700
