Date,Open,High,Low,Close,Adj Close,Volume
2016-10-28,24.9,27.25,24.700001,27.25,26.022049,388183300
2016-10-31,27.5,28.75,26.75,28.25,26.97699,134347200
2016-11-01,28.25,28.75,27.75,28.0,26.738253000000004,81274200
2016-11-02,28.25,29.0,28.0,28.5,27.215721000000002,86056600
2016-11-03,29.0,29.25,27.75,28.0,26.738253000000004,104735600
2016-11-04,28.0,28.25,27.25,27.75,26.499516999999997,71164000
2016-11-07,28.0,28.5,28.0,28.0,26.738253000000004,31950600
2016-11-08,28.25,28.25,26.5,26.75,25.54458,53920500
2016-11-09,26.5,28.25,26.25,28.0,26.738253000000004,66479700
2016-11-10,28.0,28.25,27.25,27.5,26.260786,26467500
2016-11-11,27.0,28.25,27.0,27.5,26.260786,46983200
2016-11-14,27.0,27.0,26.0,26.25,25.067114,46235700
2016-11-15,26.75,26.75,25.0,25.5,24.350908,50659600
2016-11-16,26.0,26.0,25.0,25.0,23.873442,31264400
2016-11-17,25.0,25.25,24.200001,24.200001,23.109491000000002,61971600
2016-11-18,24.0,25.75,24.0,25.75,24.589643,68721700
2016-11-21,25.75,25.75,25.0,25.0,23.873442,11381400
2016-11-22,25.5,25.75,25.25,25.5,24.350908,8737400
2016-11-23,26.0,26.5,25.75,25.75,24.589643,24157600
2016-11-24,25.75,25.75,25.0,25.25,24.112175,6907300
2016-11-25,25.25,25.75,25.25,25.5,24.350908,6332900
2016-11-28,25.5,25.75,25.0,25.5,24.350908,5197000
2016-11-29,25.75,25.75,24.9,24.9,23.777946,8690700
2016-11-30,24.9,25.25,24.799999,25.25,24.112175,8379700
2016-12-01,25.5,25.5,24.799999,24.799999,23.682451,9262200
2016-12-02,25.0,25.0,24.299999,24.4,23.300476,10012400
2016-12-06,24.5,24.6,24.1,24.5,23.395971,8430100
2016-12-07,24.6,24.799999,24.299999,24.299999,23.204987,7348000
2016-12-08,24.4,24.799999,24.299999,24.299999,23.204987,7627100
2016-12-09,24.5,24.5,24.200001,24.299999,23.204987,5318300
2016-12-13,24.4,25.25,24.299999,24.799999,23.682451,24757100
2016-12-14,24.9,24.9,24.6,24.700001,23.58696,11232000
2016-12-15,24.6,25.25,24.5,24.5,23.395971,11449800
2016-12-16,24.700001,24.9,24.5,24.9,23.777946,4527100
2016-12-19,24.9,25.0,24.799999,24.799999,23.682451,3515300
2016-12-20,24.799999,24.9,24.4,24.5,23.395971,6248600
2016-12-21,24.5,24.700001,24.299999,24.299999,23.204987,3581500
2016-12-22,24.299999,24.4,24.1,24.1,23.013996,4573800
2016-12-23,24.200001,24.4,24.1,24.4,23.300476,7136100
2016-12-26,24.4,24.4,24.200001,24.299999,23.204987,3884500
2016-12-27,24.200001,24.6,24.200001,24.299999,23.204987,7828200
2016-12-28,24.4,24.9,24.299999,24.6,23.491467,15050600
2016-12-29,24.6,24.799999,24.5,24.6,23.491467,5902800
2016-12-30,24.6,24.700001,24.200001,24.4,23.300476,9138600
2017-01-04,24.5,25.25,24.4,25.25,24.112175,26885200
2017-01-05,25.25,25.25,24.799999,24.9,23.777946,11503800
2017-01-06,24.9,25.25,24.9,25.0,23.873442,9450600
2017-01-09,25.25,25.25,24.5,24.6,23.491467,9087600
2017-01-10,24.700001,25.0,24.6,24.9,23.777946,13239500
2017-01-11,24.799999,25.0,24.6,24.6,23.491467,7009100
2017-01-12,24.799999,24.799999,24.6,24.6,23.491467,2518800
2017-01-16,24.700001,24.700001,24.4,24.5,23.395971,4973800
2017-01-17,24.5,24.6,24.299999,24.4,23.300476,5211700
2017-01-18,24.5,24.6,24.299999,24.299999,23.204987,2646700
2017-01-19,24.299999,24.6,24.299999,24.4,23.300476,6672000
2017-01-20,24.4,24.700001,24.4,24.6,23.491467,3039100
2017-01-23,24.700001,25.25,24.6,25.0,23.873442,18866300
2017-01-24,25.0,25.5,25.0,25.0,23.873442,12560500
2017-01-25,25.0,25.25,24.9,25.0,23.873442,8904300
2017-01-26,25.0,25.0,24.6,24.6,23.491467,6204600
2017-01-27,24.6,24.799999,24.6,24.799999,23.682451,2071200
