Date,Open,High,Low,Close,Adj Close,Volume
2014-11-21,35.0,37.0,32.25,32.5,30.206112,234387500
2014-11-24,32.75,33.75,32.0,32.0,29.7414,28320000
2014-11-25,32.25,34.75,31.5,34.75,32.297306,21955500
2014-11-26,34.5,35.0,33.75,33.75,31.367884000000004,17067500
2014-11-27,33.5,34.5,33.5,33.5,31.135532,7245200
2014-11-28,33.75,35.75,33.5,34.75,32.297306,31071900
2014-12-01,35.25,37.0,35.25,36.25,33.691425,38494000
2014-12-02,36.5,37.75,36.0,36.75,34.156143,42507600
2014-12-03,36.75,36.75,36.0,36.25,33.691425,7701000
2014-12-04,36.5,36.75,36.25,36.25,33.691425,5985600
2014-12-08,35.5,36.25,34.25,34.5,32.064941,5949200
2014-12-09,34.5,36.0,34.5,35.25,32.762012,3659300
2014-12-11,34.75,35.25,33.0,34.25,31.832596000000002,3352300
2014-12-12,34.25,34.5,33.5,33.75,31.367884000000004,1874300
2014-12-15,33.5,33.5,28.75,32.0,29.7414,5964000
2014-12-16,31.0,32.75,30.25,32.0,29.7414,3669000
2014-12-17,31.5,33.5,31.5,33.0,30.670818,1435200
2014-12-18,33.5,33.5,31.75,32.5,30.206112,1503600
2014-12-19,32.5,32.5,32.0,32.25,29.973757,537700
2014-12-22,32.75,34.5,32.5,34.0,31.600240999999997,1959200
2014-12-23,34.0,35.5,34.0,34.5,32.064941,2696900
2014-12-24,34.75,34.75,33.25,33.25,30.903177000000003,1116900
2014-12-25,33.25,33.25,32.5,32.75,30.438469,959800
2014-12-26,32.75,33.5,32.0,33.25,30.903177000000003,779400
2014-12-29,33.25,33.5,32.75,33.0,30.670818,394200
2014-12-30,32.5,33.5,32.0,33.5,31.135532,1036500
2015-01-05,33.25,33.5,32.75,33.0,30.670818,606600
2015-01-06,32.25,32.5,31.0,31.25,29.044335999999998,2062200
2015-01-07,31.25,31.5,29.25,30.25,28.114918,8869200
2015-01-08,30.25,31.25,30.25,31.25,29.044335999999998,5676100
