Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.6,5.6,5.55,5.6,4.762424,313300
2008-01-03,5.5,5.55,5.5,5.5,4.677381,109700
2008-01-04,5.55,5.6,5.55,5.6,4.762424,50800
2008-01-07,5.55,5.6,5.55,5.6,4.762424,222600
2008-01-08,5.6,5.65,5.6,5.65,4.804945,160600
2008-01-09,5.6,5.6,5.6,5.6,4.762424,144700
2008-01-10,5.6,5.6,5.6,5.6,4.762424,187300
2008-01-11,5.6,5.6,5.6,5.6,4.762424,210000
2008-01-14,5.6,5.6,5.55,5.6,4.762424,183700
2008-01-15,5.6,5.6,5.55,5.6,4.762424,181900
2008-01-16,5.5,5.5,5.45,5.45,4.634859,254400
2008-01-17,5.55,5.55,5.5,5.5,4.677381,239900
2008-01-18,5.55,5.6,5.5,5.55,4.719901999999999,189700
2008-01-21,5.6,5.6,5.5,5.5,4.677381,113200
2008-01-22,5.4,5.45,5.35,5.45,4.634859,409900
2008-01-23,5.45,5.45,5.45,5.45,4.634859,235500
2008-01-24,5.45,5.45,5.4,5.4,4.592337000000001,270200
2008-01-25,5.45,5.45,5.4,5.45,4.634859,126900
2008-01-28,5.45,5.45,5.4,5.45,4.634859,18900
2008-01-29,5.45,5.5,5.45,5.45,4.634859,73000
2008-01-30,5.45,5.55,5.45,5.5,4.677381,248000
2008-01-31,5.5,5.6,5.5,5.55,4.719901999999999,163400
2008-02-01,5.6,5.6,5.6,5.6,4.762424,131300
2008-02-04,5.65,5.65,5.6,5.6,4.762424,249000
2008-02-05,5.6,5.6,5.6,5.6,4.762424,1025400
2008-02-06,5.6,5.6,5.6,5.6,4.762424,200000
2008-02-07,5.6,5.6,5.55,5.6,4.762424,800000
2008-02-08,5.6,5.6,5.6,5.6,4.762424,1033000
2008-02-11,5.6,5.6,5.55,5.6,4.762424,1058200
2008-02-12,5.55,5.6,5.55,5.6,4.762424,1162400
2008-02-13,5.6,5.6,5.6,5.6,4.762424,939500
2008-02-14,5.6,5.65,5.6,5.65,4.804945,1348100
2008-02-15,5.6,5.65,5.55,5.65,4.804945,318300
2008-02-18,5.7,5.7,5.65,5.7,4.847467,1065000
2008-02-19,5.7,5.75,5.7,5.75,4.889988,1064200
2008-02-20,5.75,5.75,5.7,5.7,4.847467,390800
2008-02-22,5.75,5.75,5.7,5.7,4.847467,188200
2008-02-25,5.7,5.7,5.7,5.7,4.847467,216900
2008-02-26,5.75,5.75,5.7,5.75,4.889988,68500
2008-02-27,5.7,5.75,5.7,5.75,4.889988,71800
2008-02-28,5.75,5.75,5.75,5.75,4.889988,75000
2008-02-29,5.8,5.8,5.75,5.8,4.93251,34000
2008-03-03,5.8,5.8,5.7,5.7,4.847467,37300
2008-03-04,5.75,5.75,5.7,5.7,4.847467,52000
2008-03-05,5.7,5.75,5.7,5.7,4.847467,153500
2008-03-06,5.7,5.75,5.7,5.75,4.889988,45000
2008-03-07,5.75,5.75,5.7,5.75,4.889988,297300
2008-03-10,5.7,5.7,5.6,5.6,4.762424,701400
2008-03-11,5.6,5.6,5.6,5.6,4.762424,11100
2008-03-12,5.6,5.75,5.6,5.7,4.847467,229500
2008-03-13,5.65,5.65,5.65,5.65,4.804945,100000
2008-03-14,5.7,5.75,5.7,5.75,4.889988,149700
2008-03-17,5.6,5.6,5.6,5.6,4.762424,320900
2008-03-18,5.6,5.6,5.6,5.6,4.762424,318400
2008-03-19,5.6,5.65,5.6,5.6,4.762424,573100
2008-03-20,5.6,5.65,5.6,5.6,4.762424,53600
2008-03-21,5.6,5.65,5.6,5.65,4.804945,5500
2008-03-24,5.6,5.6,5.6,5.6,4.762424,85000
2008-03-25,5.6,5.6,5.6,5.6,4.762424,51800
2008-03-26,5.6,5.6,5.6,5.6,4.762424,180900
2008-03-27,5.7,5.75,5.65,5.7,4.847467,22800
2008-03-28,5.65,5.7,5.65,5.65,4.804945,21
2008-03-31,5.7,5.75,5.7,5.75,4.889988,222500
2008-04-01,5.75,5.75,5.75,5.75,4.889988,147300
2008-04-02,5.7,5.75,5.7,5.75,4.889988,393200
2008-04-03,5.75,5.75,5.7,5.75,4.889988,183000
2008-04-04,5.75,5.8,5.75,5.75,4.889988,209100
2008-04-08,5.75,5.75,5.7,5.75,4.889988,124000
2008-04-09,5.75,5.8,5.75,5.75,4.889988,32200
2008-04-10,5.75,5.8,5.75,5.8,4.93251,55300
2008-04-11,5.8,5.8,5.8,5.8,4.93251,100
2008-04-16,5.8,5.8,5.75,5.75,4.889988,117100
2008-04-17,5.75,5.8,5.75,5.75,4.889988,2200
2008-04-18,5.75,5.85,5.75,5.85,4.975032,107000
2008-04-21,5.85,5.85,5.75,5.75,4.889988,29000
2008-04-22,5.8,5.8,5.75,5.75,4.889988,31100
2008-04-23,5.8,5.8,5.75,5.75,4.889988,52000
2008-04-24,5.7,5.75,5.7,5.75,4.889988,61000
2008-04-25,5.8,5.85,5.8,5.85,4.975032,63400
2008-04-28,5.5,5.75,5.5,5.75,5.001124,3300
2008-04-29,5.65,5.75,5.65,5.65,4.914148,0
2008-04-30,5.7,5.7,5.5,5.6,4.870661,10600
2008-05-02,5.85,5.85,5.85,5.85,5.0881,6100
2008-05-06,5.85,5.85,5.7,5.7,4.957636,4000
