Date,Open,High,Low,Close,Adj Close,Volume
2013-05-16,1.0,1.0,0.86,0.87,0.528903,1781741000
2013-05-17,0.87,0.92,0.87,0.9,0.547141,323723000
2013-05-20,0.9,0.915,0.87,0.88,0.534983,146176000
2013-05-21,0.885,0.9,0.88,0.885,0.538022,141562000
2013-05-22,0.89,0.91,0.885,0.89,0.541062,146497000
2013-05-23,0.9,0.95,0.89,0.9,0.547141,579923000
2013-05-27,0.905,0.905,0.885,0.89,0.541062,117434000
2013-05-28,0.895,0.95,0.895,0.94,0.571459,452678000
2013-05-29,0.94,1.0,0.94,0.96,0.583617,958862000
2013-05-30,0.96,0.97,0.91,0.93,0.565379,368613000
2013-05-31,0.94,0.94,0.915,0.93,0.565379,134726000
2013-06-03,0.92,0.93,0.91,0.915,0.5562600000000001,83117000
2013-06-04,0.925,0.93,0.905,0.925,0.56234,123279000
2013-06-05,0.92,0.925,0.89,0.905,0.550181,97694000
2013-06-06,0.9,0.9,0.86,0.86,0.522824,97735000
2013-06-07,0.86,0.935,0.86,0.895,0.5441020000000001,145324000
2013-06-10,0.905,0.93,0.895,0.93,0.565379,74329000
2013-06-11,0.925,0.925,0.875,0.905,0.550181,156805000
2013-06-12,0.9,0.905,0.885,0.9,0.547141,62856000
2013-06-13,0.875,0.875,0.85,0.87,0.528903,107873000
2013-06-14,0.895,0.905,0.88,0.9,0.547141,71181000
2013-06-17,0.9,0.91,0.88,0.9,0.547141,36015000
2013-06-18,0.9,0.94,0.885,0.89,0.541062,206883000
2013-06-19,0.9,0.91,0.885,0.905,0.550181,43065000
2013-06-20,0.88,0.89,0.875,0.88,0.534983,48286000
2013-06-21,0.87,0.89,0.86,0.88,0.534983,37549000
2013-06-24,0.88,0.885,0.86,0.86,0.522824,18757000
2013-06-25,0.87,0.87,0.81,0.86,0.522824,96613000
2013-06-26,0.86,0.87,0.85,0.87,0.528903,26185000
2013-06-27,0.88,0.89,0.86,0.875,0.531943,66859000
2013-06-28,0.89,0.89,0.87,0.87,0.528903,26049000
2013-07-02,0.87,0.88,0.86,0.87,0.528903,19479000
2013-07-03,0.87,0.88,0.86,0.86,0.522824,19156000
2013-07-04,0.86,0.87,0.85,0.86,0.522824,17941000
2013-07-05,0.87,0.9,0.86,0.89,0.541062,95307000
2013-07-08,0.875,0.91,0.87,0.9,0.547141,89028000
2013-07-09,0.91,0.96,0.905,0.94,0.571459,379678000
2013-07-10,0.925,0.93,0.89,0.895,0.5441020000000001,132893000
2013-07-11,0.91,0.915,0.9,0.905,0.550181,12132000
2013-07-12,0.91,0.93,0.905,0.915,0.5562600000000001,53260000
2013-07-15,0.925,0.93,0.91,0.915,0.5562600000000001,25635000
2013-07-16,0.92,0.935,0.905,0.925,0.56234,41868000
2013-07-17,0.925,0.925,0.915,0.925,0.56234,13585000
2013-07-18,0.925,1.02,0.925,0.99,0.6018560000000001,387766000
2013-07-19,1.0,1.02,0.98,1.0,0.607935,168500000
2013-07-23,1.03,1.04,0.99,0.99,0.6018560000000001,108447000
