Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,5.45,5.45,5.3,5.35,3.3244089999999997,16146000
2008-01-03,5.15,5.35,5.15,5.25,3.2622709999999997,25274200
2008-01-04,5.25,5.4,5.25,5.35,3.3244089999999997,15697800
2008-01-07,5.25,5.25,5.05,5.15,3.200132,16544800
2008-01-08,5.05,5.1,5.0,5.1,3.169062,19130600
2008-01-09,5.05,5.15,5.0,5.15,3.200132,14940600
2008-01-10,5.15,5.15,4.975,4.975,3.091389,11538400
2008-01-11,5.0,5.1,4.875,4.875,3.029251,11540800
2008-01-14,4.925,4.95,4.85,4.95,3.075855,4291800
2008-01-15,4.975,4.975,4.8,4.875,3.029251,6697200
2008-01-16,4.725,4.925,4.7,4.925,3.060321,17931400
2008-01-17,4.925,4.975,4.875,4.925,3.060321,6754200
2008-01-18,4.85,4.95,4.8,4.875,3.029251,3277800
2008-01-21,4.9,5.0,4.85,4.975,3.091389,10946600
2008-01-22,4.85,5.05,4.675,5.0,3.106925,16204400
2008-01-23,5.05,5.05,4.85,4.925,3.060321,10526000
2008-01-24,5.0,5.0,4.9,4.925,3.060321,9038000
2008-01-25,4.95,5.05,4.95,5.0,3.106925,14872400
2008-01-28,5.05,5.1,5.0,5.1,3.169062,2626800
2008-01-29,5.1,5.1,5.0,5.1,3.169062,7147600
2008-01-30,5.05,5.35,5.05,5.35,3.3244089999999997,22752000
2008-01-31,5.3,5.4,5.25,5.4,3.355479,11026400
2008-02-01,5.5,5.7,5.45,5.55,3.448686,35048200
2008-02-04,5.75,5.8,5.55,5.65,3.510825,47013400
2008-02-05,5.65,5.65,5.4,5.5,3.417617,15292200
2008-02-06,5.4,5.4,5.25,5.35,3.3244089999999997,12805600
2008-02-07,5.4,5.45,5.4,5.4,3.355479,2193000
2008-02-08,5.4,5.55,5.4,5.5,3.417617,3615600
2008-02-11,5.5,5.55,5.4,5.45,3.3865480000000003,7316200
2008-02-12,5.45,5.6,5.45,5.5,3.417617,34372000
2008-02-13,5.5,5.55,5.35,5.4,3.355479,11169000
2008-02-14,5.45,5.45,5.3,5.4,3.355479,12442000
2008-02-15,5.4,5.4,5.25,5.4,3.355479,8304800
2008-02-18,5.4,5.45,5.25,5.45,3.3865480000000003,8615400
2008-02-19,5.45,5.6,5.45,5.5,3.417617,8937800
2008-02-20,5.5,5.5,5.4,5.5,3.417617,4965800
2008-02-22,5.5,5.5,5.4,5.4,3.355479,2500800
2008-02-25,5.45,5.45,5.35,5.35,3.3244089999999997,12048000
2008-02-26,5.35,5.4,5.15,5.35,3.3244089999999997,15520400
2008-02-27,5.35,5.35,5.3,5.3,3.29334,2730800
2008-02-28,5.3,5.4,5.25,5.4,3.355479,9531800
2008-02-29,5.45,5.55,5.4,5.5,3.417617,15284400
2008-03-03,5.5,5.55,5.5,5.5,3.417617,13070600
2008-03-04,5.55,5.65,5.5,5.55,3.448686,25588200
2008-03-05,5.5,5.7,5.5,5.6,3.4797550000000004,13764600
2008-03-06,5.65,5.65,5.55,5.6,3.4797550000000004,9740000
2008-03-07,5.55,5.55,5.45,5.5,3.417617,6469600
2008-03-10,5.4,5.45,5.3,5.4,3.355479,13622200
2008-03-11,5.45,5.5,5.4,5.5,3.417617,8223400
2008-03-12,5.5,5.55,5.4,5.45,3.3865480000000003,14132200
2008-03-13,5.45,5.5,5.35,5.35,3.3244089999999997,6119000
2008-03-14,5.35,5.5,5.35,5.4,3.355479,2044200
2008-03-17,5.35,5.45,5.35,5.4,3.355479,3050600
2008-03-18,5.3,5.4,5.3,5.4,3.355479,11601800
2008-03-19,5.4,5.5,5.4,5.45,3.3865480000000003,13260800
2008-03-20,5.45,5.45,5.35,5.45,3.3865480000000003,11211200
2008-03-21,5.45,5.45,5.4,5.4,3.355479,4198600
2008-03-24,5.4,5.45,5.4,5.4,3.355479,2497200
2008-03-25,5.4,5.4,5.3,5.4,3.355479,26129800
2008-03-26,5.4,5.4,5.3,5.35,3.3244089999999997,10324000
2008-03-27,5.35,5.35,5.3,5.3,3.29334,16455200
2008-03-28,5.3,5.3,5.25,5.25,3.2622709999999997,15406400
2008-03-31,5.25,5.3,5.15,5.2,3.231201,11297400
2008-04-01,5.05,5.35,5.05,5.35,3.564315,21702200
2008-04-02,5.35,5.4,5.25,5.3,3.5310040000000003,19955000
2008-04-03,5.3,5.35,5.3,5.3,3.5310040000000003,11883200
2008-04-04,5.3,5.3,5.0,5.1,3.397758,42660600
2008-04-08,5.15,5.15,5.05,5.1,3.397758,9977200
2008-04-09,5.1,5.1,5.0,5.05,3.364447,12260200
2008-04-10,5.05,5.1,5.05,5.05,3.364447,3153200
2008-04-11,5.1,5.25,5.1,5.2,3.464381,5709600
2008-04-16,5.2,5.25,5.05,5.25,3.497693,16720800
2008-04-17,5.3,5.3,5.2,5.25,3.497693,10685400
2008-04-18,5.25,5.25,5.2,5.2,3.464381,1005200
2008-04-21,5.2,5.25,5.1,5.15,3.4310690000000004,9404800
2008-04-22,5.2,5.25,5.2,5.2,3.464381,8185600
2008-04-23,5.2,5.25,5.2,5.2,3.464381,4919600
2008-04-24,5.2,5.25,5.2,5.25,3.497693,10628800
2008-04-25,5.15,5.15,5.0,5.05,3.364447,14429800
2008-04-28,5.05,5.15,5.05,5.1,3.397758,3919000
2008-04-29,5.1,5.15,5.05,5.1,3.397758,1513600
2008-04-30,5.1,5.15,5.1,5.1,3.397758,1329800
2008-05-02,5.15,5.25,5.15,5.25,3.497693,3190000
2008-05-06,5.25,5.25,5.15,5.2,3.464381,6832800
2008-05-07,5.2,5.25,5.2,5.2,3.464381,3030800
2008-05-08,5.2,5.25,5.2,5.2,3.464381,1422200
2008-05-09,5.25,5.3,5.2,5.25,3.497693,3476200
2008-05-12,5.25,5.25,5.15,5.2,3.464381,10451800
2008-05-13,5.25,5.25,5.15,5.2,3.464381,6142600
2008-05-14,5.2,5.25,5.15,5.25,3.497693,4779400
2008-05-15,5.65,5.75,5.55,5.75,3.830806,36400200
2008-05-16,5.7,5.75,5.6,5.7,3.7974940000000004,17120400
2008-05-20,5.7,5.7,5.45,5.55,3.6975599999999997,6424000
2008-05-21,5.55,5.7,5.5,5.7,3.7974940000000004,4753800
2008-05-22,5.7,5.7,5.55,5.65,3.764183,7478800
2008-05-23,5.65,5.7,5.65,5.65,3.764183,15762400
2008-05-26,5.65,5.7,5.5,5.7,3.7974940000000004,8472800
2008-05-27,5.7,5.8,5.65,5.75,3.830806,11522000
2008-05-28,5.75,5.8,5.6,5.65,3.764183,20137200
2008-05-29,5.75,5.75,5.65,5.75,3.830806,11082200
