Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,4.64,4.64,4.54,4.54,3.0055709999999998,3548600
2008-01-03,4.5,4.52,4.46,4.5,2.9790900000000002,4477400
2008-01-04,4.5,4.54,4.42,4.42,2.926128,4895000
2008-01-07,4.4,4.44,4.36,4.44,2.9393689999999997,4497300
2008-01-08,4.44,4.44,4.38,4.4,2.912888,17925300
2008-01-09,4.4,4.44,4.38,4.42,2.926128,12112700
2008-01-10,4.44,4.44,4.4,4.4,2.912888,2935200
2008-01-11,4.42,4.42,4.36,4.38,2.8996470000000003,4258200
2008-01-14,4.38,4.38,4.34,4.36,2.886407,4060800
2008-01-15,4.34,4.38,4.34,4.36,2.886407,2635100
2008-01-16,4.34,4.34,4.26,4.28,2.833446,6008300
2008-01-17,4.3,4.32,4.26,4.28,2.833446,8355600
2008-01-18,4.28,4.32,4.26,4.3,2.846686,3922500
2008-01-21,4.32,4.36,4.18,4.18,2.767244,11987700
2008-01-22,4.1,4.12,3.8,3.92,2.595118,40539000
2008-01-23,4.0,4.08,3.9,4.04,2.674562,17856300
2008-01-24,4.1,4.12,4.0,4.02,2.66132,18157200
2008-01-25,4.12,4.12,4.06,4.1,2.714282,11394400
2008-01-28,4.04,4.06,4.02,4.06,2.687801,3072400
2008-01-29,4.1,4.1,4.02,4.04,2.674562,3073400
2008-01-30,4.08,4.2,4.06,4.2,2.780484,13463400
2008-01-31,4.26,4.3,4.16,4.3,2.846686,13993000
2008-02-01,4.3,4.4,4.3,4.34,2.873167,23021600
2008-02-04,4.38,4.38,4.2,4.22,2.793724,31156000
2008-02-05,4.18,4.26,4.18,4.26,2.820205,21237100
2008-02-06,4.2,4.3,4.18,4.26,2.820205,7884800
2008-02-07,4.22,4.36,4.22,4.28,2.833446,7059
2008-02-08,4.24,4.34,4.24,4.32,2.8599259999999997,2911100
2008-02-11,4.32,4.34,4.3,4.32,2.8599259999999997,2700400
2008-02-12,4.3,4.32,4.28,4.32,2.8599259999999997,5787800
2008-02-13,4.32,4.34,4.3,4.34,2.873167,4320800
2008-02-14,4.36,4.38,4.34,4.36,2.886407,13666900
2008-02-15,4.36,4.38,4.32,4.38,2.8996470000000003,3863900
2008-02-18,4.4,4.54,4.38,4.52,2.99233,11099100
2008-02-19,4.54,4.7,4.54,4.68,3.0982540000000003,30606300
2008-02-20,4.7,4.7,4.56,4.6,3.045291,12054200
2008-02-22,4.58,4.6,4.52,4.6,3.045291,10183000
2008-02-25,4.58,4.62,4.58,4.6,3.045291,6281600
2008-02-26,4.58,4.6,4.5,4.56,3.018811,10236900
2008-02-27,4.58,4.6,4.54,4.58,3.032051,9245300
2008-02-28,4.58,4.62,4.54,4.6,3.045291,6545300
2008-02-29,4.62,4.64,4.58,4.62,3.058532,6685800
2008-03-03,4.6,4.6,4.56,4.6,3.045291,10416300
2008-03-04,4.6,4.66,4.6,4.62,3.058532,8649600
2008-03-05,4.6,4.62,4.58,4.6,3.045291,15843700
2008-03-06,4.66,4.66,4.46,4.54,3.0055709999999998,24914700
2008-03-07,4.5,4.54,4.48,4.52,2.99233,16899200
2008-03-10,4.5,4.5,4.4,4.48,2.96585,14020700
2008-03-11,4.46,4.54,4.44,4.5,2.9790900000000002,11610600
2008-03-12,4.52,4.6,4.52,4.6,3.045291,13908400
2008-03-13,4.6,4.6,4.54,4.56,3.018811,9586300
2008-03-14,4.58,4.58,4.54,4.58,3.032051,5019300
2008-03-17,4.54,4.56,4.5,4.54,3.0055709999999998,8312400
2008-03-18,4.52,4.58,4.52,4.58,3.032051,6260000
2008-03-19,4.58,4.6,4.54,4.54,3.0055709999999998,16534700
2008-03-20,4.54,4.54,4.5,4.5,2.9790900000000002,7381800
2008-03-21,4.54,4.62,4.54,4.6,3.045291,5846000
2008-03-24,4.6,4.6,4.5,4.56,3.018811,6912400
2008-03-25,4.56,4.62,4.56,4.62,3.058532,19889200
2008-03-26,4.6,4.62,4.56,4.6,3.045291,13988900
2008-03-27,4.58,4.62,4.58,4.6,3.045291,6883500
2008-03-28,4.62,4.66,4.58,4.66,3.085013,14288300
2008-03-31,4.56,4.6,4.54,4.56,3.074898,2735900
2008-04-01,4.6,4.6,4.58,4.6,3.101871,1732900
2008-04-02,4.6,4.64,4.6,4.64,3.128843,4452200
2008-04-03,4.64,4.78,4.64,4.74,3.196275,23379400
2008-04-04,4.76,4.76,4.66,4.7,3.1693029999999998,18113000
2008-04-08,4.68,4.7,4.66,4.68,3.155816,10479200
2008-04-09,4.68,4.9,4.68,4.78,3.223249,59969800
2008-04-10,4.84,4.86,4.74,4.74,3.196275,20791300
2008-04-11,4.74,4.76,4.74,4.76,3.209762,9960300
2008-04-16,4.76,4.8,4.76,4.8,3.236735,7668900
2008-04-17,4.84,4.9,4.8,4.84,3.2637080000000003,65042700
2008-04-18,4.86,4.86,4.76,4.76,3.209762,45549600
2008-04-21,4.82,4.84,4.76,4.8,3.236735,25504000
2008-04-22,4.8,4.8,4.76,4.76,3.209762,23164300
2008-04-23,4.78,4.82,4.76,4.78,3.223249,27526700
2008-04-24,4.8,4.82,4.76,4.76,3.209762,21565500
2008-04-25,4.76,4.78,4.74,4.76,3.209762,9283400
2008-04-28,4.78,4.8,4.76,4.76,3.209762,5339300
2008-04-29,4.76,4.78,4.74,4.74,3.196275,5888000
