Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,112.0,112.0,109.0,109.0,64.816574,152400
2008-01-03,109.0,109.0,108.0,108.0,64.221924,373100
2008-01-04,109.0,109.0,106.0,106.0,63.032623,698000
2008-01-07,105.0,106.0,104.0,104.0,61.84333,588200
2008-01-08,105.0,106.0,104.0,105.0,62.437968999999995,407300
2008-01-09,104.0,106.0,104.0,106.0,63.032623,222900
2008-01-10,106.0,106.0,104.0,104.0,61.84333,498300
2008-01-11,105.0,105.0,104.0,104.0,61.84333,299400
2008-01-14,104.0,105.0,103.0,105.0,62.437968999999995,928900
2008-01-15,106.0,107.0,104.0,105.0,62.437968999999995,354600
2008-01-16,103.0,104.0,99.5,100.0,59.46474499999999,1732300
2008-01-17,101.0,102.0,99.5,102.0,60.654037,569100
2008-01-18,100.0,103.0,100.0,103.0,61.24868000000001,298900
2008-01-21,102.0,105.0,100.0,100.0,59.46474499999999,787900
2008-01-22,99.0,99.5,97.0,98.0,58.275448,756400
2008-01-23,101.0,101.0,98.0,99.5,59.167412,787100
2008-01-24,99.5,100.0,98.0,98.0,58.275448,385300
2008-01-25,98.0,100.0,97.5,98.0,58.275448,1024600
2008-01-28,97.5,97.5,92.5,94.0,55.896857999999995,1113200
2008-01-29,94.5,94.5,92.5,93.0,55.302212,1260100
2008-01-30,94.0,96.0,94.0,95.5,56.788818000000006,1077700
2008-01-31,95.5,98.5,95.5,98.5,58.572765000000004,1993000
2008-02-01,99.0,101.0,99.0,99.5,59.167412,1231400
2008-02-04,101.0,102.0,99.0,99.0,58.870090000000005,588500
2008-02-05,98.0,98.5,97.0,97.5,57.978115,689200
2008-02-06,96.0,96.5,94.5,95.5,56.788818000000006,981000
2008-02-07,95.0,95.0,94.5,95.0,56.491507999999996,382700
2008-02-08,95.0,96.0,95.0,95.5,56.788818000000006,761900
2008-02-11,95.5,96.0,95.5,95.5,56.788818000000006,596700
2008-02-12,96.0,97.0,95.5,97.0,57.68079399999999,744200
2008-02-13,97.5,98.5,97.0,98.0,58.275448,798900
2008-02-14,99.0,100.0,98.0,99.0,58.870090000000005,1135200
2008-02-15,98.0,98.5,97.5,98.0,58.275448,448300
2008-02-18,98.5,98.5,97.5,98.5,58.572765000000004,480700
2008-02-19,99.5,100.0,98.0,99.0,58.870090000000005,2866800
2008-02-20,100.0,100.0,98.0,98.5,58.572765000000004,1468000
2008-02-22,98.5,98.5,96.5,98.0,58.275448,1947100
2008-02-25,98.0,98.0,97.0,97.5,57.978115,1006900
2008-02-26,98.0,98.5,96.5,96.5,57.383472,1339300
2008-02-27,97.0,97.5,96.5,97.0,57.68079399999999,493100
2008-02-28,97.0,97.0,96.5,97.0,57.68079399999999,583500
2008-02-29,97.0,97.0,96.5,97.0,57.68079399999999,815800
2008-03-03,97.0,97.5,96.5,96.5,57.383472,465000
2008-03-04,97.0,97.5,96.5,96.5,57.383472,376000
2008-03-05,96.5,97.0,96.0,96.5,57.383472,629700
2008-03-06,97.0,97.5,96.5,97.5,57.978115,796300
2008-03-07,97.0,98.5,97.0,98.0,58.275448,1069400
2008-03-10,97.5,97.5,95.5,96.0,57.086163,1235500
2008-03-11,96.0,97.0,95.5,97.0,57.68079399999999,158200
2008-03-12,97.5,98.5,97.0,98.5,58.572765000000004,966800
2008-03-13,98.0,99.0,98.0,98.5,58.572765000000004,837300
2008-03-14,98.5,98.5,97.5,98.0,58.275448,291200
2008-03-17,96.5,97.5,96.0,97.0,57.68079399999999,626700
2008-03-18,96.0,98.0,96.0,98.0,58.275448,374700
2008-03-19,98.0,98.5,97.0,97.0,57.68079399999999,363600
2008-03-20,96.5,97.0,96.5,97.0,57.68079399999999,71200
2008-03-21,97.5,98.0,97.0,97.5,57.978115,339200
2008-03-24,98.0,98.0,97.5,98.0,58.275448,83000
2008-03-25,98.0,99.0,98.0,98.5,58.572765000000004,1121900
2008-03-26,98.5,99.0,98.0,98.5,58.572765000000004,909800
2008-03-27,96.5,97.5,96.0,97.0,59.182899,417600
2008-03-28,97.0,97.0,96.5,97.0,59.182899,149000
2008-03-31,97.5,97.5,96.0,96.0,58.572784,416700
2008-04-01,97.0,97.0,96.5,96.5,58.877834,348500
2008-04-02,97.0,97.5,96.5,97.0,59.182899,564200
2008-04-03,96.5,97.5,96.0,96.5,58.877834,478800
2008-04-04,96.5,96.5,95.5,96.0,58.572784,285600
2008-04-08,96.5,96.5,95.5,96.5,58.877834,690400
