Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,4.04,4.06,4.04,4.06,3.535224,556100
2008-01-03,4.08,4.22,4.08,4.2,3.6571290000000003,4724800
2008-01-04,4.18,4.38,4.18,4.26,3.7093730000000003,12923800
2008-01-07,4.34,4.34,4.24,4.3,3.7442029999999997,6220400
2008-01-08,4.28,4.28,4.22,4.24,3.691958,8872900
2008-01-09,4.26,4.38,4.2,4.28,3.726789,7361600
2008-01-10,4.3,4.3,4.26,4.26,3.7093730000000003,1164800
2008-01-11,4.28,4.4,4.26,4.34,3.779033,6437500
2008-01-14,4.34,4.34,4.28,4.28,3.726789,631900
2008-01-15,4.38,4.5,4.32,4.44,3.866107,5795300
2008-01-16,4.44,4.44,4.3,4.32,3.761618,1089600
2008-01-17,4.4,4.4,4.32,4.34,3.779033,973600
2008-01-18,4.3,4.32,4.28,4.3,3.7442029999999997,3324300
2008-01-21,4.3,4.38,4.24,4.3,3.7442029999999997,4652000
2008-01-22,4.26,4.3,4.18,4.24,3.691958,2700000
2008-01-23,4.24,4.26,4.24,4.24,3.691958,198500
2008-01-24,4.24,4.26,4.24,4.24,3.691958,489600
2008-01-25,4.3,4.3,4.24,4.24,3.691958,282000
2008-01-28,4.22,4.24,4.18,4.24,3.691958,413
2008-01-29,4.22,4.28,4.22,4.28,3.726789,56
2008-01-30,4.22,4.24,4.22,4.22,3.674543,134
2008-01-31,4.18,4.22,4.18,4.2,3.6571290000000003,266200
2008-02-01,4.2,4.38,4.2,4.26,3.7093730000000003,2897000
2008-02-04,4.26,4.28,4.24,4.26,3.7093730000000003,1238400
2008-02-05,4.24,4.3,4.24,4.26,3.7093730000000003,1665700
2008-02-06,4.22,4.28,4.22,4.28,3.726789,387
2008-02-07,4.28,4.28,4.26,4.28,3.726789,61100
2008-02-08,4.26,4.26,4.26,4.26,3.7093730000000003,74200
2008-02-11,4.24,4.28,4.22,4.26,3.7093730000000003,493400
2008-02-12,4.26,4.26,4.18,4.22,3.674543,2167900
2008-02-13,4.22,4.3,4.22,4.26,3.7093730000000003,557
2008-02-14,4.26,4.28,4.2,4.24,3.691958,4319500
2008-02-15,4.24,4.3,4.22,4.28,3.726789,6972400
2008-02-18,4.3,4.4,4.3,4.4,3.8312779999999997,6551000
2008-02-19,4.44,4.6,4.44,4.54,3.953182,9620000
2008-02-20,4.6,4.6,4.44,4.5,3.9183519999999996,3240400
2008-02-22,4.5,4.5,4.44,4.44,3.866107,664900
2008-02-25,4.44,4.5,4.44,4.46,3.8835230000000003,1154800
2008-02-26,4.46,4.52,4.46,4.52,3.935767,2202400
2008-02-27,4.52,4.52,4.48,4.48,3.9009370000000003,376900
2008-02-28,4.5,4.52,4.46,4.5,3.9183519999999996,2312900
2008-02-29,4.5,4.54,4.48,4.5,3.9183519999999996,2371400
2008-03-03,4.46,4.46,4.42,4.42,3.848693,4807900
2008-03-04,4.42,4.48,4.4,4.4,3.8312779999999997,2924800
2008-03-05,4.4,4.42,4.04,4.42,3.848693,2714700
2008-03-06,4.4,4.42,4.4,4.4,3.8312779999999997,1988500
2008-03-07,4.42,4.5,4.42,4.48,3.9009370000000003,609200
2008-03-10,4.42,4.48,4.38,4.38,3.813864,613500
2008-03-11,4.32,4.36,4.32,4.36,3.7964480000000003,50200
2008-03-12,4.4,4.42,4.4,4.4,3.8312779999999997,276500
2008-03-13,4.4,4.4,4.34,4.34,3.779033,724700
2008-03-14,4.36,4.36,4.32,4.34,3.779033,1704500
2008-03-17,4.32,4.32,4.28,4.3,3.7442029999999997,156400
2008-03-18,4.28,4.32,4.28,4.32,3.761618,115000
2008-03-19,4.32,4.32,4.32,4.32,3.761618,1313700
2008-03-20,4.3,4.32,4.28,4.32,3.761618,36300
2008-03-21,4.3,4.32,4.28,4.28,3.726789,382700
2008-03-24,4.3,4.3,4.28,4.3,3.7442029999999997,806800
2008-03-25,4.3,4.36,4.3,4.34,3.779033,2307800
2008-03-26,4.36,4.38,4.36,4.36,3.7964480000000003,852800
2008-03-27,4.36,4.36,4.32,4.36,3.7964480000000003,1477100
2008-03-28,4.3,4.36,4.3,4.34,3.8317650000000003,1967100
2008-03-31,4.3,4.3,4.3,4.3,3.7964480000000003,185000
2008-04-01,4.28,4.32,4.28,4.32,3.8141059999999998,267900
2008-04-02,4.32,4.32,4.32,4.32,3.8141059999999998,4000
2008-04-03,4.32,4.32,4.32,4.32,3.8141059999999998,1433200
2008-04-04,4.32,4.32,4.3,4.32,3.8141059999999998,2087700
2008-04-08,4.32,4.32,4.32,4.32,3.8141059999999998,187000
2008-04-09,4.32,4.32,4.32,4.32,3.8141059999999998,223700
2008-04-10,4.32,4.32,4.3,4.3,3.7964480000000003,2707300
2008-04-11,4.32,4.32,4.3,4.3,3.7964480000000003,125000
2008-04-16,4.3,4.32,4.28,4.3,3.7964480000000003,2224700
2008-04-17,4.3,4.32,4.28,4.3,3.7964480000000003,1422500
2008-04-18,4.3,4.3,4.28,4.3,3.7964480000000003,3321200
2008-04-21,4.3,4.32,4.28,4.3,3.7964480000000003,1147000
2008-04-22,4.3,4.3,4.3,4.3,3.7964480000000003,580000
2008-04-23,4.3,4.3,4.3,4.3,3.7964480000000003,1085000
2008-04-24,4.32,4.32,4.3,4.32,3.8141059999999998,1427700
2008-04-25,4.34,4.34,4.32,4.32,3.8141059999999998,47800
2008-04-28,4.32,4.34,4.32,4.34,3.8317650000000003,99100
2008-04-29,4.32,4.32,4.32,4.32,3.8141059999999998,678000
2008-04-30,4.36,4.36,4.36,4.36,3.849421,69400
2008-05-02,4.36,4.38,4.32,4.34,3.8317650000000003,118100
2008-05-06,4.34,4.36,4.34,4.34,3.8317650000000003,799900
