Date,Open,High,Low,Close,Adj Close,Volume
2009-08-19,0.77123,0.78367,0.72148,0.72148,0.603291,394409577
2009-08-20,0.74636,0.75258,0.70282,0.71526,0.59809,129207350
2009-08-21,0.71526,0.72148,0.68416,0.68416,0.5720850000000001,66076913
2009-08-24,0.6966,0.7401399999999999,0.6966,0.7277,0.608492,138411112
2009-08-25,0.7277,0.75258,0.72148,0.73392,0.613693,93699454
2009-08-26,0.7401399999999999,0.75258,0.73392,0.73392,0.613693,64392569
2009-08-27,0.7401399999999999,0.75258,0.7277,0.7277,0.608492,49874344
2009-08-28,0.73392,0.7650100000000001,0.73392,0.74636,0.624095,77615862
2009-08-31,0.74636,0.75258,0.74636,0.75258,0.629296,23307815
2009-09-01,0.75258,0.77745,0.75258,0.75879,0.6344890000000001,54365286
2009-09-02,0.75879,0.75879,0.74636,0.75258,0.629296,10134364
2009-09-03,0.75879,0.7650100000000001,0.75258,0.75258,0.629296,21793577
2009-09-04,0.75258,0.77745,0.75258,0.75258,0.629296,70607086
2009-09-07,0.75879,0.75879,0.74636,0.75258,0.629296,28592694
2009-09-08,0.75879,0.77123,0.75258,0.75879,0.6344890000000001,53116337
2009-09-09,0.7650100000000001,0.7650100000000001,0.75258,0.75258,0.629296,17994316
2009-09-10,0.75879,0.7650100000000001,0.75258,0.75258,0.629296,35129417
2009-09-11,0.75879,0.80233,0.75258,0.77745,0.650092,139746882
2009-09-14,0.78989,0.82721,0.78989,0.80233,0.6708970000000001,182248763
2009-09-15,0.80855,0.82099,0.79611,0.79611,0.665695,54550184
2009-09-16,0.80233,0.80855,0.79611,0.80233,0.6708970000000001,31708313
2009-09-17,0.80855,0.80855,0.77745,0.78367,0.655293,31020813
2009-09-18,0.78367,0.79611,0.78367,0.78989,0.6604939999999999,6806513
2009-09-21,0.79611,0.80233,0.78367,0.78989,0.6604939999999999,16093882
2009-09-22,0.79611,0.81477,0.78989,0.80855,0.676098,46728819
2009-09-23,0.8458700000000001,0.8458700000000001,0.81477,0.82721,0.691701,107309265
2009-09-24,0.82721,0.8334299999999999,0.80855,0.81477,0.681299,22545390
2009-09-25,0.81477,0.82099,0.79611,0.79611,0.665695,18925239
2009-09-28,0.81477,0.81477,0.79611,0.80233,0.6708970000000001,26417003
2009-09-29,0.81477,0.81477,0.80233,0.80233,0.6708970000000001,15262643
2009-09-30,0.82099,0.82099,0.80233,0.81477,0.681299,36350390
2009-10-01,0.81477,0.82099,0.80855,0.81477,0.681299,14042956
2009-10-02,0.80233,0.81477,0.80233,0.80855,0.676098,11346333
2009-10-05,0.80855,0.80855,0.78989,0.79611,0.665695,21876540
2009-10-06,0.80233,0.80855,0.79611,0.79611,0.665695,6159851
2009-10-07,0.80855,0.80855,0.79611,0.80233,0.6708970000000001,11713879
