Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,21.700001,21.700001,21.0,21.0,10.245714999999999,976000
2008-01-03,20.9,21.0,20.6,20.700001,10.099349,2365000
2008-01-04,20.799999,21.200001,20.700001,20.9,10.196927,1055000
2008-01-07,20.6,20.700001,20.5,20.6,10.050558,509400
2008-01-08,20.6,20.9,20.4,20.5,10.001769,595800
2008-01-09,20.299999,20.299999,19.799999,20.0,9.757825,2019900
2008-01-10,20.0,20.0,19.200001,19.299999,9.416300999999999,1976900
2008-01-11,19.4,19.4,18.5,18.5,9.025989,1936300
2008-01-14,18.6,18.6,18.200001,18.299999,8.928409,991000
2008-01-15,18.4,18.5,17.799999,17.9,8.733253999999999,1420300
2008-01-16,17.700001,18.1,17.5,18.1,8.830832000000001,1271400
2008-01-17,18.0,18.6,18.0,18.4,8.977199,464900
2008-01-18,18.1,18.5,18.1,18.200001,8.879622,310600
2008-01-21,18.4,18.5,18.0,18.0,8.782043,635000
2008-01-22,17.799999,17.799999,17.4,17.6,8.586885,1429800
2008-01-23,18.0,18.200001,17.6,18.200001,8.879622,1387700
2008-01-24,18.299999,18.4,17.9,17.9,8.733253999999999,233400
2008-01-25,18.299999,18.700001,18.200001,18.6,9.074778,1324100
2008-01-28,18.5,18.6,18.0,18.6,9.074778,334000
2008-01-29,18.6,18.6,18.299999,18.299999,8.928409,275300
2008-01-30,18.4,18.6,18.299999,18.6,9.074778,341800
2008-01-31,18.700001,19.1,18.5,19.0,9.269935,567200
2008-02-01,19.299999,20.0,19.0,19.5,9.51388,1510300
2008-02-04,19.799999,19.799999,19.0,19.1,9.318723,968800
2008-02-05,19.1,19.1,18.700001,18.799999,9.172356,1121900
2008-02-06,18.6,19.0,18.6,18.799999,9.172356,290400
2008-02-07,18.700001,19.0,18.700001,18.9,9.221144,36800
2008-02-08,19.0,19.200001,18.9,19.200001,9.367513,173700
2008-02-11,19.200001,19.200001,18.9,18.9,9.221144,230300
2008-02-12,19.0,19.1,18.9,19.0,9.269935,439800
2008-02-13,19.1,19.1,18.9,18.9,9.221144,595000
2008-02-14,19.1,19.6,19.1,19.299999,9.416300999999999,2007300
2008-02-15,19.1,19.1,18.9,18.9,9.221144,1278400
2008-02-18,19.0,19.0,18.5,18.700001,9.123566,1568000
2008-02-19,18.700001,19.0,18.700001,18.700001,9.123566,657000
2008-02-20,18.799999,18.799999,18.6,18.700001,9.123566,412500
2008-02-22,18.6,18.6,18.299999,18.5,9.025989,853500
2008-02-25,18.6,18.799999,18.5,18.6,9.074778,766300
2008-02-26,18.700001,18.700001,18.4,18.5,9.025989,539300
2008-02-27,18.6,18.6,18.5,18.6,9.074778,123700
2008-02-28,18.6,18.799999,18.5,18.799999,9.172356,825200
2008-02-29,19.200001,19.200001,18.9,19.0,9.269935,2606700
2008-03-03,19.0,19.0,18.700001,18.700001,9.123566,930700
2008-03-04,18.9,19.0,18.799999,18.9,9.221144,978000
2008-03-05,18.9,18.9,18.4,18.5,9.025989,2014400
2008-03-06,18.5,18.5,17.799999,18.0,8.782043,4012900
2008-03-07,17.9,18.0,17.799999,18.0,8.782043,774900
2008-03-10,18.0,18.0,17.700001,17.799999,8.684464,1056300
2008-03-11,17.799999,18.0,17.799999,17.9,8.733253999999999,649700
2008-03-12,18.200001,18.200001,18.0,18.1,8.830832000000001,287300
2008-03-13,18.1,18.4,18.1,18.299999,8.928409,550400
2008-03-14,18.299999,18.4,18.0,18.0,8.782043,739200
2008-03-17,17.9,18.0,17.9,18.0,8.782043,290600
2008-03-18,17.9,18.0,17.9,18.0,8.782043,900600
2008-03-19,18.200001,18.200001,18.0,18.0,8.782043,244800
2008-03-20,18.1,18.1,17.9,18.0,8.782043,551600
2008-03-21,18.0,18.0,17.9,18.0,8.782043,680000
2008-03-24,18.0,18.0,17.9,18.0,8.782043,450200
2008-03-25,18.1,18.200001,18.1,18.1,8.830832000000001,534300
2008-03-26,18.200001,18.299999,18.1,18.1,8.830832000000001,741700
2008-03-27,18.1,18.4,18.1,18.299999,8.928409,480200
2008-03-28,18.200001,18.799999,18.200001,18.700001,9.123566,1071300
2008-03-31,18.799999,18.799999,18.5,18.5,9.025989,494500
2008-04-01,18.6,18.700001,18.6,18.700001,9.123566,329600
2008-04-02,18.799999,18.799999,18.6,18.700001,9.123566,1532300
2008-04-03,17.4,17.700001,17.4,17.6,9.228436,1166300
2008-04-04,17.6,17.6,17.4,17.5,9.176001,533900
2008-04-08,17.799999,17.799999,17.4,17.4,9.123565,1089400
2008-04-09,17.5,17.5,17.4,17.5,9.176001,310800
2008-04-10,17.5,17.5,17.299999,17.4,9.123565,667300
2008-04-11,17.4,17.5,17.4,17.4,9.123565,238800
2008-04-16,17.4,17.5,17.200001,17.200001,9.0187,767100
2008-04-17,17.4,17.4,17.200001,17.200001,9.0187,1137400
2008-04-18,17.299999,17.299999,17.1,17.200001,9.0187,542600
2008-04-21,17.200001,17.299999,17.200001,17.200001,9.0187,430200
2008-04-22,17.200001,17.200001,17.0,17.1,8.966264,1223000
2008-04-23,17.1,17.299999,17.1,17.299999,9.071132,546800
2008-04-24,17.299999,17.4,17.200001,17.299999,9.071132,306000
2008-04-25,17.299999,17.4,17.200001,17.4,9.123565,601100
2008-04-28,17.4,17.5,17.299999,17.4,9.123565,308300
2008-04-29,17.4,17.4,17.200001,17.200001,9.0187,441400
2008-04-30,17.200001,17.5,17.200001,17.5,9.176001,505800
2008-05-02,17.799999,18.299999,17.700001,18.1,9.490607,2754300
2008-05-06,18.299999,18.299999,18.200001,18.299999,9.595474000000001,1504600
2008-05-07,18.200001,18.299999,17.9,18.200001,9.543042,900700
2008-05-08,18.299999,18.5,18.299999,18.5,9.700344,2487900
2008-05-09,18.5,18.5,18.299999,18.4,9.647909,1241300
2008-05-12,18.4,18.5,18.1,18.200001,9.543042,1588600
2008-05-13,18.200001,18.4,18.200001,18.299999,9.595474000000001,725700
2008-05-14,18.299999,18.9,18.299999,18.9,9.910081,3406300
2008-05-15,18.9,19.1,18.4,18.6,9.752778,2117100
2008-05-16,18.700001,19.0,18.6,18.700001,9.805212,792300
2008-05-20,18.700001,18.700001,18.5,18.5,9.700344,914400
2008-05-21,18.5,18.6,18.4,18.4,9.647909,624800
2008-05-22,18.4,18.4,18.0,18.0,9.438174,920300
2008-05-23,18.200001,18.5,18.0,18.5,9.700344,837900
2008-05-26,18.4,18.4,18.1,18.1,9.490607,418300
2008-05-27,18.1,18.200001,18.0,18.0,9.438174,313500
2008-05-28,18.0,18.0,17.299999,17.299999,9.071132,1806500
2008-05-29,17.4,17.6,17.4,17.4,9.123565,3441600
2008-05-30,17.299999,17.4,16.9,16.9,8.861396000000001,8310400
2008-06-02,17.0,17.200001,17.0,17.200001,9.0187,2369400
2008-06-03,17.200001,17.700001,17.200001,17.6,9.228436,972300
2008-06-04,17.700001,17.9,17.200001,17.5,9.176001,2127600
2008-06-05,17.6,17.9,17.5,17.9,9.385738,792700
2008-06-06,18.0,18.1,17.700001,18.0,9.438174,1408300
2008-06-09,17.700001,18.299999,17.6,18.200001,9.543042,944800
2008-06-10,18.4,19.0,18.299999,19.0,9.962517,3811100
2008-06-11,19.1,19.1,18.700001,18.799999,9.857647,1496000
2008-06-12,18.700001,19.5,18.4,19.299999,10.119819,2668600
2008-06-13,19.200001,19.200001,18.6,18.799999,9.857647,619600
2008-06-16,18.799999,19.1,18.6,18.799999,9.857647,734500
2008-06-17,18.9,19.0,18.700001,19.0,9.962517,681700
2008-06-18,18.9,19.200001,18.700001,19.200001,10.067385,951200
2008-06-19,19.0,19.4,19.0,19.299999,10.119819,2047200
2008-06-20,19.1,19.200001,18.9,19.1,10.01495,1681700
2008-06-23,19.0,19.200001,18.799999,19.200001,10.067385,455300
2008-06-24,19.0,19.4,18.9,19.200001,10.067385,672300
