Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,6.3,6.35,6.1,6.15,4.070138,40820900
2008-01-03,6.05,6.15,6.0,6.1,4.037047,25591100
2008-01-04,6.05,6.1,5.9,5.95,3.937775,48919900
2008-01-07,5.85,5.9,5.75,5.75,3.805414,29975400
2008-01-08,5.8,5.85,5.7,5.8,3.8385029999999998,13374800
2008-01-09,5.7,5.8,5.65,5.8,3.8385029999999998,31156600
2008-01-10,5.75,5.75,5.55,5.55,3.6730519999999998,32925800
2008-01-11,5.6,5.65,5.55,5.6,3.706141,20601800
2008-01-14,5.5,5.55,5.4,5.45,3.60687,20507300
2008-01-15,5.5,5.55,5.3,5.35,3.540689,26872600
2008-01-16,5.2,5.4,5.1,5.35,3.540689,52529500
2008-01-17,5.4,5.5,5.25,5.45,3.60687,39650900
2008-01-18,5.35,5.4,5.25,5.35,3.540689,33487300
2008-01-21,5.35,5.45,5.05,5.05,3.342146,68272500
2008-01-22,4.92,5.0,4.82,4.84,3.2031650000000003,62183800
2008-01-23,5.0,5.05,4.86,4.88,3.229637,27786100
2008-01-24,4.92,4.96,4.8,4.82,3.1899290000000002,17815900
2008-01-25,4.88,5.1,4.86,5.0,3.309054,48682800
2008-01-28,4.98,5.0,4.9,4.96,3.2825830000000003,28187600
2008-01-29,5.0,5.05,4.96,4.98,3.2958190000000003,27098700
2008-01-30,5.0,5.1,4.98,5.1,3.3752370000000003,20696800
2008-01-31,5.1,5.3,5.05,5.2,3.441417,40109100
2008-02-01,5.3,5.5,5.25,5.5,3.63996,56816400
2008-02-04,5.6,5.65,5.45,5.5,3.63996,52990200
2008-02-05,5.45,5.55,5.4,5.5,3.63996,16943700
2008-02-06,5.35,5.4,5.3,5.35,3.540689,24985500
2008-02-07,5.35,5.4,5.35,5.35,3.540689,4357700
2008-02-08,5.4,5.5,5.4,5.45,3.60687,9372600
2008-02-11,5.5,5.55,5.4,5.4,3.57378,8647200
2008-02-12,5.4,5.5,5.4,5.45,3.60687,17598200
2008-02-13,5.45,5.6,5.4,5.4,3.57378,27581800
2008-02-14,5.5,5.6,5.45,5.45,3.60687,38885800
2008-02-15,5.4,5.45,5.35,5.4,3.57378,12734500
