Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1.81,1.81,1.78,1.78,0.939738,859600
2008-01-03,1.77,1.77,1.76,1.77,0.934459,664200
2008-01-04,1.76,1.77,1.75,1.75,0.9239,1648000
2008-01-07,1.75,1.75,1.73,1.73,0.913341,468000
2008-01-08,1.73,1.75,1.72,1.75,0.9239,630200
2008-01-09,1.73,1.73,1.69,1.71,0.902782,1984000
2008-01-10,1.71,1.71,1.64,1.65,0.8711059999999999,1093800
2008-01-11,1.65,1.65,1.62,1.62,0.855268,1314400
2008-01-14,1.61,1.64,1.58,1.64,0.865826,4347800
2008-01-15,1.65,1.66,1.63,1.66,0.8763850000000001,1277400
2008-01-16,1.63,1.66,1.62,1.65,0.8711059999999999,1312800
2008-01-17,1.65,1.67,1.64,1.67,0.8816649999999999,1259600
2008-01-18,1.66,1.71,1.66,1.69,0.892224,806
2008-01-21,1.68,1.71,1.68,1.69,0.892224,944800
2008-01-22,1.69,1.69,1.61,1.65,0.8711059999999999,3387000
2008-01-23,1.68,1.68,1.64,1.66,0.8763850000000001,1357400
2008-01-24,1.66,1.68,1.64,1.65,0.8711059999999999,2948
2008-01-25,1.65,1.66,1.65,1.66,0.8763850000000001,280000
2008-01-28,1.65,1.65,1.63,1.64,0.865826,601000
2008-01-29,1.64,1.64,1.64,1.64,0.865826,233000
2008-01-30,1.64,1.7,1.63,1.68,0.8869440000000001,1638600
2008-01-31,1.66,1.69,1.66,1.68,0.8869440000000001,712
2008-02-01,1.67,1.72,1.67,1.7,0.897503,1440200
2008-02-04,1.73,1.74,1.69,1.69,0.892224,963800
2008-02-05,1.7,1.7,1.66,1.66,0.8763850000000001,922000
2008-02-06,1.65,1.66,1.64,1.66,0.8763850000000001,385000
2008-02-07,1.67,1.67,1.66,1.66,0.8763850000000001,479000
2008-02-08,1.67,1.67,1.66,1.66,0.8763850000000001,299800
2008-02-11,1.66,1.69,1.66,1.67,0.8816649999999999,328
2008-02-12,1.67,1.71,1.67,1.7,0.897503,3474400
2008-02-13,1.72,1.77,1.72,1.75,0.9239,7794000
2008-02-14,1.76,1.77,1.73,1.73,0.913341,3704600
2008-02-15,1.72,1.73,1.7,1.7,0.897503,2287200
2008-02-18,1.7,1.76,1.7,1.75,0.9239,4845200
2008-02-19,1.77,1.88,1.77,1.87,0.9872540000000001,19231000
2008-02-20,1.85,1.87,1.81,1.86,0.981974,11462600
2008-02-22,1.86,1.86,1.82,1.84,0.9714149999999999,4034200
2008-02-25,1.83,1.88,1.83,1.88,0.992533,10309400
2008-02-26,1.88,1.91,1.82,1.83,0.9661360000000001,20712000
2008-02-27,1.84,1.85,1.83,1.83,0.9661360000000001,1815600
2008-02-28,1.87,1.91,1.77,1.79,0.945018,41861600
2008-02-29,1.8,1.8,1.75,1.77,0.934459,9075400
2008-03-03,1.76,1.76,1.72,1.72,0.908062,6817400
2008-03-04,1.72,1.72,1.64,1.7,0.897503,4653400
2008-03-05,1.71,1.73,1.7,1.72,0.908062,823800
2008-03-06,1.72,1.75,1.68,1.71,0.902782,6116400
2008-03-07,1.71,1.71,1.67,1.71,0.902782,911800
2008-03-10,1.71,1.71,1.66,1.7,0.897503,3593600
2008-03-11,1.69,1.7,1.67,1.7,0.897503,7883000
2008-03-12,1.72,1.72,1.7,1.71,0.902782,2399600
2008-03-13,1.7,1.72,1.68,1.72,0.908062,9108400
2008-03-14,1.71,1.71,1.69,1.71,0.902782,7690800
2008-03-17,1.69,1.7,1.69,1.7,0.897503,614000
2008-03-18,1.7,1.72,1.68,1.71,0.902782,6528000
2008-03-19,1.71,1.72,1.67,1.67,0.8816649999999999,11930600
2008-03-20,1.67,1.67,1.63,1.64,0.865826,10450200
2008-03-21,1.66,1.67,1.64,1.64,0.865826,2920
2008-03-24,1.66,1.68,1.65,1.68,0.8869440000000001,4468
2008-03-25,1.68,1.7,1.67,1.7,0.897503,9165800
2008-03-26,1.7,1.7,1.68,1.69,0.892224,994400
2008-03-27,1.69,1.73,1.69,1.73,0.913341,4978000
2008-03-28,1.74,1.75,1.73,1.75,0.9239,15733800
2008-03-31,1.75,1.75,1.72,1.74,0.9186209999999999,2830400
2008-04-01,1.74,1.77,1.72,1.75,0.9239,18923800
2008-04-02,1.75,1.75,1.72,1.74,0.9186209999999999,12073600
2008-04-03,1.69,1.69,1.67,1.69,0.9352219999999999,5701600
2008-04-04,1.69,1.76,1.68,1.71,0.94629,17627200
2008-04-08,1.71,1.73,1.7,1.73,0.957358,10394800
2008-04-09,1.73,1.75,1.72,1.74,0.962892,17137200
2008-04-10,1.74,1.75,1.73,1.73,0.957358,11846400
2008-04-11,1.73,1.73,1.72,1.72,0.951824,857600
2008-04-16,1.73,1.74,1.72,1.74,0.962892,3507800
2008-04-17,1.73,1.75,1.73,1.75,0.968426,19145200
2008-04-18,1.75,1.78,1.75,1.77,0.9794930000000001,15622600
2008-04-21,1.78,1.82,1.78,1.81,1.001629,15752600
2008-04-22,1.81,1.82,1.79,1.81,1.001629,7221800
2008-04-23,1.82,1.84,1.82,1.84,1.01823,10290800
2008-04-24,1.84,1.84,1.82,1.83,1.012697,5022200
2008-04-25,1.83,1.88,1.83,1.88,1.040366,12682800
2008-04-28,1.88,1.89,1.87,1.87,1.034832,8486600
2008-04-29,1.87,1.88,1.83,1.83,1.012697,10725000
2008-04-30,1.84,1.9,1.72,1.78,0.9850270000000001,78691000
2008-05-02,1.78,1.78,1.73,1.75,0.968426,9218200
2008-05-06,1.75,1.76,1.74,1.75,0.968426,2782400
2008-05-07,1.76,1.78,1.75,1.75,0.968426,3533400
