Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,18.6,18.9,18.6,18.799999,11.057466,1055600
2008-01-03,18.700001,18.700001,18.4,18.5,10.881017,907000
2008-01-04,18.5,18.5,17.700001,18.1,10.645750999999999,1271000
2008-01-07,17.799999,18.0,17.4,17.4,10.23404,765000
2008-01-08,17.5,17.5,17.4,17.5,10.292855,2478800
2008-01-09,17.4,17.4,17.299999,17.4,10.23404,599300
2008-01-10,17.299999,17.299999,17.200001,17.200001,10.116407,288000
2008-01-11,17.200001,17.200001,16.799999,17.0,9.998774000000001,1154500
2008-01-14,17.0,17.1,16.799999,17.0,9.998774000000001,607100
2008-01-15,17.1,17.5,17.1,17.4,10.23404,682600
2008-01-16,17.299999,17.299999,17.0,17.1,10.05759,578400
2008-01-17,17.1,17.5,16.700001,17.5,10.292855,1748200
2008-01-18,17.0,17.6,17.0,17.5,10.292855,3085100
2008-01-21,17.5,17.6,17.299999,17.4,10.23404,2144800
2008-01-22,17.1,17.200001,16.799999,16.9,9.939955,3588300
2008-01-23,16.9,17.1,16.9,16.9,9.939955,2798400
2008-01-24,16.9,17.0,16.6,16.9,9.939955,660500
2008-01-25,17.0,17.1,17.0,17.0,9.998774000000001,638100
2008-01-28,16.799999,17.299999,16.799999,17.299999,10.175222,487100
2008-01-29,17.299999,17.299999,16.799999,16.799999,9.881139,4587600
2008-01-30,16.799999,17.0,16.799999,16.9,9.939955,977600
2008-01-31,17.0,17.0,16.700001,17.0,9.998774000000001,1152600
2008-02-01,17.299999,17.700001,17.299999,17.5,10.292855,5413100
2008-02-04,18.0,18.700001,17.9,18.6,10.939834,5469700
2008-02-05,18.6,18.6,18.200001,18.299999,10.763383000000001,1446400
2008-02-06,18.0,18.0,17.700001,17.700001,10.41049,921000
2008-02-07,17.700001,18.0,17.700001,17.9,10.528121,472000
2008-02-08,17.9,18.299999,17.9,18.299999,10.763383000000001,547300
2008-02-11,18.5,18.9,18.4,18.6,10.939834,2932200
2008-02-12,18.6,18.799999,18.5,18.6,10.939834,3093600
2008-02-13,18.700001,18.700001,18.4,18.700001,10.998650999999999,309500
2008-02-14,18.799999,18.9,18.700001,18.700001,10.998650999999999,1533700
2008-02-15,18.700001,18.700001,18.200001,18.200001,10.704568,55400
2008-02-18,18.5,18.5,17.700001,17.799999,10.469302,1391500
2008-02-19,18.1,18.1,17.6,17.9,10.528121,1268800
2008-02-20,17.799999,17.9,17.6,17.9,10.528121,872700
2008-02-22,17.9,18.0,17.799999,17.9,10.528121,581500
2008-02-25,18.0,18.0,17.700001,17.700001,10.41049,161300
2008-02-26,17.9,18.1,17.9,17.9,10.528121,428300
2008-02-27,18.0,18.0,17.6,17.799999,10.469302,2027000
2008-02-28,17.6,17.700001,17.5,17.6,10.351671000000001,1192500
2008-02-29,17.700001,17.9,17.700001,17.700001,10.41049,986200
2008-03-03,17.799999,17.799999,17.6,17.700001,10.41049,1652900
2008-03-04,17.799999,17.9,17.799999,17.799999,10.469302,1133100
2008-03-05,17.799999,18.0,17.799999,17.9,10.528121,1071200
2008-03-06,18.0,18.4,18.0,18.4,10.8222,1196200
2008-03-07,18.4,18.6,18.299999,18.4,10.8222,1897900
2008-03-10,18.200001,18.4,18.1,18.200001,10.704568,623900
2008-03-11,18.299999,18.4,18.1,18.200001,10.704568,579000
2008-03-12,18.299999,18.4,18.200001,18.4,10.8222,517800
2008-03-13,18.4,18.4,18.1,18.200001,10.704568,647000
2008-03-14,18.200001,18.299999,18.200001,18.200001,10.704568,154800
2008-03-17,18.200001,18.200001,18.0,18.0,10.586936,660200
2008-03-18,17.9,18.299999,17.9,18.299999,10.763383000000001,148300
2008-03-19,18.299999,18.299999,18.200001,18.200001,10.704568,351800
2008-03-20,18.200001,18.299999,18.200001,18.299999,10.763383000000001,175700
2008-03-21,18.4,18.4,18.200001,18.299999,10.763383000000001,140100
2008-03-24,18.4,18.4,18.200001,18.4,10.8222,420400
2008-03-25,18.4,18.4,18.299999,18.299999,10.763383000000001,101700
2008-03-26,18.4,18.4,18.299999,18.4,10.8222,31800
2008-03-27,18.4,18.5,18.4,18.5,10.881017,248700
2008-03-28,18.5,18.5,18.4,18.4,10.8222,795200
2008-03-31,18.5,18.5,18.200001,18.200001,10.704568,811200
2008-04-01,18.1,18.5,18.1,18.4,10.8222,886900
2008-04-02,18.4,19.0,17.799999,18.0,10.586936,5278000
2008-04-03,18.1,18.5,18.1,18.299999,10.763383000000001,3097800
2008-04-04,18.4,18.5,18.200001,18.299999,10.763383000000001,1173700
2008-04-08,18.299999,18.299999,18.299999,18.299999,10.763383000000001,983900
2008-04-09,18.299999,18.299999,18.200001,18.299999,10.763383000000001,1439600
2008-04-10,18.299999,18.299999,18.1,18.1,10.645750999999999,4337000
2008-04-11,17.5,17.6,17.4,17.4,10.554764,1963100
2008-04-16,17.200001,17.5,17.200001,17.299999,10.494104,3495200
2008-04-17,17.4,17.6,17.0,17.1,10.372786,1903400
2008-04-18,17.200001,17.200001,17.0,17.1,10.372786,369200
2008-04-21,17.200001,17.200001,17.0,17.0,10.312123,1496000
2008-04-22,17.1,17.200001,17.1,17.200001,10.433446,1003300
2008-04-23,17.200001,17.200001,17.1,17.1,10.372786,325800
2008-04-24,17.1,17.200001,17.0,17.1,10.372786,1417100
2008-04-25,17.1,17.5,17.1,17.4,10.554764,540300
2008-04-28,17.5,17.5,17.4,17.5,10.615422,237100
2008-04-29,17.6,17.6,17.4,17.5,10.615422,363900
2008-04-30,17.5,17.6,17.4,17.6,10.676085,625400
2008-05-02,17.700001,18.200001,17.5,18.200001,11.040041,1991000
2008-05-06,18.5,18.6,18.200001,18.6,11.282678,1639900
2008-05-07,18.5,18.5,18.299999,18.5,11.222014,212900
2008-05-08,18.4,18.4,18.200001,18.299999,11.100698,1990500
2008-05-09,18.1,18.299999,18.1,18.1,10.97938,235300
2008-05-12,18.0,18.0,17.799999,17.9,10.858061,579100
2008-05-13,17.9,18.299999,17.9,18.0,10.918717,1558800
2008-05-14,18.0,18.0,17.6,17.700001,10.736742999999999,1650000
2008-05-15,18.0,18.0,17.9,18.0,10.918717,923000
2008-05-16,18.0,18.1,18.0,18.0,10.918717,1236500
2008-05-20,18.0,18.1,17.9,17.9,10.858061,642300
2008-05-21,17.9,18.0,17.799999,17.799999,10.797402,1882900
2008-05-22,17.799999,17.9,17.700001,17.799999,10.797402,957400
2008-05-23,17.799999,17.799999,17.700001,17.700001,10.736742999999999,1083900
2008-05-26,17.700001,18.0,17.6,18.0,10.918717,545100
2008-05-27,18.0,18.0,17.700001,17.9,10.858061,440800
2008-05-28,17.799999,17.799999,17.700001,17.799999,10.797402,90200
2008-05-29,17.700001,17.700001,17.4,17.6,10.676085,850100
2008-05-30,17.6,17.6,17.5,17.6,10.676085,428100
2008-06-02,17.6,17.6,17.200001,17.4,10.554764,737300
2008-06-03,17.4,17.5,17.299999,17.4,10.554764,382000
2008-06-04,17.4,17.700001,17.4,17.700001,10.736742999999999,521400
2008-06-05,17.700001,17.700001,17.200001,17.200001,10.433446,325800
2008-06-06,17.4,17.5,17.299999,17.299999,10.494104,131000
2008-06-09,17.299999,17.299999,16.799999,16.9,10.251463000000001,512200
