Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,23.9,24.0,23.0,23.0,20.412785999999997,20095600
2016-12-02,22.799999,23.0,22.4,22.4,19.88028,5836400
2016-12-06,22.5,22.6,22.1,22.299999,19.791527,2882100
2016-12-07,22.299999,23.1,22.299999,23.0,20.412785999999997,10220000
2016-12-08,23.0,23.299999,22.700001,22.700001,20.146534,6168900
2016-12-09,22.799999,22.9,22.4,22.5,19.96903,4741500
2016-12-13,22.6,22.799999,22.4,22.6,20.057782999999997,4789700
2016-12-14,22.6,22.799999,22.4,22.4,19.88028,4954900
2016-12-15,22.4,22.6,22.4,22.5,19.96903,3101900
2016-12-16,22.5,22.6,22.200001,22.200001,19.702778,7903900
2016-12-19,22.4,22.5,22.299999,22.5,19.96903,2789900
2016-12-20,22.6,22.6,22.299999,22.5,19.96903,2043700
2016-12-21,22.4,22.4,22.0,22.1,19.614027,7219000
2016-12-22,22.1,22.200001,21.799999,21.799999,19.347773,8569200
2016-12-23,21.799999,22.1,21.700001,21.799999,19.347773,5089600
2016-12-26,21.799999,21.9,21.299999,21.299999,18.904016,9462300
2016-12-27,21.299999,22.1,21.200001,21.9,19.43652,8882100
2016-12-28,21.9,22.200001,21.9,22.1,19.614027,2794900
2016-12-29,22.0,22.4,22.0,22.4,19.88028,4890700
2016-12-30,22.4,22.6,22.299999,22.5,19.96903,5291200
2017-01-04,22.4,22.6,22.299999,22.4,19.88028,4773300
2017-01-05,22.4,22.700001,22.299999,22.6,20.057782999999997,7850100
2017-01-06,22.6,22.799999,22.5,22.700001,20.146534,4408000
2017-01-09,22.799999,23.200001,22.700001,23.1,20.501537,7007400
2017-01-10,23.200001,24.299999,23.0,24.299999,21.566553,22311900
2017-01-11,24.1,24.700001,24.0,24.299999,21.566553,12756100
2017-01-12,24.299999,24.4,23.9,24.0,21.300301,2878600
2017-01-16,23.9,23.9,23.5,23.5,20.856543,3564800
2017-01-17,23.5,23.9,23.5,23.6,20.945293,4206500
2017-01-18,23.799999,24.1,23.6,23.9,21.211548,6746000
2017-01-19,23.9,24.1,23.799999,24.0,21.300301,5404300
2017-01-20,24.0,24.4,24.0,24.200001,21.477802,4933400
2017-01-23,24.4,24.6,24.200001,24.6,21.832808,3738600
2017-01-24,24.6,24.700001,24.4,24.5,21.744055,3301500
2017-01-25,24.5,24.5,24.4,24.4,21.655304,1997800
2017-01-26,24.299999,24.4,23.6,23.799999,21.122797,11615900
2017-01-27,23.9,23.9,23.700001,23.700001,21.034048000000002,2032300
2017-01-30,23.700001,23.799999,23.6,23.6,20.945293,1812600
2017-01-31,23.5,23.5,23.200001,23.299999,20.679039000000003,6375700
2017-02-01,23.299999,23.4,23.200001,23.299999,20.679039000000003,2960700
2017-02-02,23.299999,23.5,23.299999,23.4,20.767789999999998,2882700
2017-02-03,23.4,23.799999,23.299999,23.6,20.945293,2732300
2017-02-06,23.700001,23.700001,23.299999,23.4,20.767789999999998,2620200
2017-02-07,23.5,23.5,23.299999,23.4,20.767789999999998,1570100
2017-02-08,23.299999,23.4,23.200001,23.299999,20.679039000000003,1323000
2017-02-09,23.299999,23.6,23.299999,23.5,20.856543,2964900
2017-02-10,23.5,23.5,23.299999,23.299999,20.679039000000003,3592400
2017-02-14,23.5,23.5,22.9,23.1,20.501537,5873400
2017-02-15,23.200001,23.200001,22.799999,23.0,20.412785999999997,3352400
2017-02-16,22.9,23.0,22.799999,23.0,20.412785999999997,5629700
2017-02-17,22.5,22.700001,22.200001,22.299999,19.791527,16974800
2017-02-20,22.299999,22.700001,22.299999,22.4,19.88028,9085500
2017-02-21,22.5,22.6,22.4,22.5,19.96903,2176300
2017-02-22,22.4,22.5,22.200001,22.4,19.88028,3336400
2017-02-23,22.299999,22.299999,22.0,22.1,19.614027,6041200
2017-02-24,22.1,22.4,22.0,22.4,19.88028,3302300
2017-02-27,22.200001,22.299999,21.9,22.0,19.525274,4185400
2017-02-28,22.1,22.200001,21.799999,21.799999,19.347773,2842700
2017-03-01,21.9,22.1,21.799999,22.0,19.525274,1821800
2017-03-02,22.1,22.299999,22.0,22.0,19.525274,4590600
2017-03-03,22.1,22.299999,21.799999,21.9,19.43652,2170700
2017-03-06,21.799999,21.9,21.700001,21.9,19.43652,2936500
2017-03-07,21.799999,21.9,21.6,21.6,19.170269,5650500
2017-03-08,21.6,21.799999,21.5,21.799999,19.347773,3922600
2017-03-09,21.9,21.9,21.6,21.6,19.170269,1564500
2017-03-10,21.700001,21.9,21.700001,21.799999,19.347773,1832200
2017-03-13,21.799999,22.0,21.700001,21.9,19.43652,2457100
2017-03-14,21.799999,22.0,21.799999,22.0,19.525274,1133000
2017-03-15,22.0,22.299999,21.9,22.200001,19.702778,3046700
2017-03-16,22.200001,22.700001,22.1,22.5,19.96903,5944200
2017-03-17,22.5,22.6,22.4,22.6,20.057782999999997,2269400
2017-03-20,22.799999,22.799999,22.5,22.700001,20.146534,1453900
2017-03-21,22.6,22.700001,22.5,22.700001,20.146534,1665800
2017-03-22,22.5,22.799999,22.5,22.6,20.057782999999997,2059600
2017-03-23,22.700001,22.700001,22.6,22.700001,20.146534,563000
2017-03-24,22.6,22.700001,22.5,22.6,20.057782999999997,1762900
