Date,Open,High,Low,Close,Adj Close,Volume
2013-05-30,4.3,4.94,4.22,4.6,4.219079,1223028700
2013-05-31,4.74,4.8,4.48,4.48,4.1090160000000004,243752600
2013-06-03,4.46,4.82,4.44,4.78,4.384174,292034500
2013-06-04,4.74,4.78,4.5,4.5,4.1273610000000005,182128900
2013-06-05,4.52,4.6,4.3,4.32,3.9622660000000005,96056500
2013-06-06,4.34,4.36,4.06,4.06,3.723796,43974100
2013-06-07,4.1,4.28,4.06,4.18,3.8338589999999995,56486800
2013-06-10,4.26,4.38,4.22,4.22,3.870547,38570900
2013-06-11,4.24,4.24,3.98,4.0,3.668765,33110500
2013-06-12,4.02,4.14,3.94,4.0,3.668765,25388000
2013-06-13,3.88,3.92,3.76,3.8,3.485327,22130900
2013-06-14,4.08,4.16,4.0,4.04,3.7054519999999997,43910800
2013-06-17,4.08,4.14,4.0,4.04,3.7054519999999997,18587600
2013-06-18,4.06,4.2,4.02,4.06,3.723796,44963900
2013-06-19,4.12,4.14,4.04,4.1,3.7604839999999995,18828500
2013-06-20,4.02,4.06,3.98,4.04,3.7054519999999997,12279200
2013-06-21,3.98,4.02,3.9,4.02,3.6871089999999995,11104800
2013-06-24,4.02,4.08,3.94,3.94,3.6137330000000003,9635200
2013-06-25,4.0,4.02,3.9,3.98,3.6504209999999997,13971600
2013-06-26,4.02,4.1,3.98,4.1,3.7604839999999995,13979500
2013-06-27,4.14,4.2,4.04,4.08,3.74214,24159000
2013-06-28,4.14,4.18,4.06,4.06,3.723796,11011900
2013-07-02,4.1,4.12,4.04,4.06,3.723796,5269300
2013-07-03,4.04,4.14,4.02,4.02,3.6871089999999995,10043200
2013-07-04,4.06,4.08,4.0,4.02,3.6871089999999995,4449200
2013-07-05,4.08,4.36,4.04,4.34,3.98061,108659400
2013-07-08,4.28,4.48,4.28,4.28,3.925578,87564300
2013-07-09,4.3,4.38,4.04,4.06,3.723796,43491500
2013-07-10,4.12,4.12,3.98,4.04,3.7054519999999997,18992300
2013-07-11,4.1,4.18,4.08,4.18,3.8338589999999995,26252000
2013-07-12,4.18,4.2,4.1,4.12,3.778828,12482200
2013-07-15,4.16,4.28,4.14,4.24,3.88889,16965100
2013-07-16,4.22,4.24,4.18,4.22,3.870547,10515600
2013-07-17,4.24,4.36,4.22,4.26,3.907235,21853200
2013-07-18,4.28,4.32,4.26,4.28,3.925578,8577400
2013-07-19,4.34,4.54,4.28,4.38,4.017298,38124300
2013-07-23,4.4,4.46,4.38,4.38,4.017298,8818100
2013-07-24,4.4,4.58,4.4,4.52,4.145704,28712000
2013-07-25,4.5,4.5,4.22,4.22,3.870547,17255100
2013-07-26,4.28,4.3,4.18,4.28,3.925578,7568500
2013-07-29,4.28,4.28,4.2,4.2,3.852203,2868300
2013-07-30,4.22,4.3,4.18,4.18,3.8338589999999995,7093900
2013-07-31,4.22,4.22,4.06,4.1,3.7604839999999995,9345300
2013-08-01,4.12,4.18,4.1,4.14,3.797171,2869000
2013-08-02,4.18,4.18,4.08,4.08,3.74214,4051500
2013-08-05,4.08,4.12,4.06,4.1,3.7604839999999995,947300
2013-08-06,4.08,4.16,4.06,4.1,3.7604839999999995,3793300
2013-08-07,4.08,4.14,4.08,4.08,3.74214,1553200
2013-08-08,4.12,4.2,4.12,4.14,3.797171,3521700
2013-08-09,4.18,4.26,4.14,4.26,3.907235,6466600
2013-08-13,4.3,4.4,4.26,4.36,3.9989529999999998,19808800
2013-08-14,4.36,4.38,4.2,4.2,3.852203,14556600
2013-08-15,4.22,4.24,4.14,4.14,3.797171,7354300
2013-08-16,4.14,4.18,4.12,4.16,3.815515,3849800
2013-08-19,4.16,4.16,4.06,4.08,3.74214,5064100
2013-08-20,4.06,4.06,3.94,3.98,3.6504209999999997,10062200
2013-08-21,3.96,4.0,3.92,3.92,3.59539,5983900
2013-08-22,3.9,3.9,3.76,3.86,3.5403580000000003,7910500
2013-08-23,3.92,3.94,3.78,3.8,3.485327,4180900
2013-08-26,3.82,3.84,3.54,3.54,3.246857,13296900
2013-08-27,3.54,3.58,3.26,3.28,3.008387,5363600
2013-08-28,3.2,3.48,3.16,3.4,3.11845,3813500
2013-08-29,3.42,3.46,3.4,3.46,3.173481,2609100
2013-08-30,3.46,3.46,3.34,3.4,3.11845,2252400
2013-09-02,3.44,3.46,3.4,3.44,3.155138,1337700
2013-09-03,3.44,3.48,3.4,3.4,3.11845,2309900
2013-09-04,3.42,3.52,3.38,3.38,3.1001060000000003,4710200
2013-09-05,3.42,3.48,3.4,3.44,3.155138,1947500
2013-09-06,3.44,3.66,3.42,3.6,3.301888,13768200
2013-09-09,3.68,3.84,3.64,3.76,3.448639,14394200
2013-09-10,3.8,3.8,3.66,3.7,3.393607,5013000
2013-09-11,3.7,3.74,3.66,3.72,3.411951,1429100
2013-09-12,3.78,3.9,3.74,3.78,3.4669830000000004,5334000
2013-09-13,3.78,3.8,3.74,3.74,3.4302949999999996,1817700
2013-09-16,3.78,3.92,3.78,3.9,3.5770459999999997,4082300
2013-09-17,3.84,4.04,3.84,4.04,3.7054519999999997,14350600
2013-09-18,4.04,4.08,3.96,3.98,3.6504209999999997,9569600
2013-09-19,4.06,4.16,4.04,4.16,3.815515,10694200
2013-09-20,4.16,4.16,4.08,4.16,3.815515,6427000
2013-09-23,4.14,4.14,4.04,4.04,3.7054519999999997,6032900
2013-09-24,3.98,4.04,3.96,4.0,3.668765,3238400
2013-09-25,4.0,4.04,3.98,4.04,3.7054519999999997,2902400
2013-09-26,4.04,4.16,4.04,4.04,3.7054519999999997,5760500
2013-09-27,4.06,4.08,4.02,4.02,3.6871089999999995,1949800
2013-09-30,3.98,3.98,3.88,3.9,3.5770459999999997,3006900
2013-10-01,3.94,4.18,3.92,4.04,3.7054519999999997,18101300
2013-10-02,4.04,4.1,4.04,4.04,3.7054519999999997,4607900
2013-10-03,4.08,4.1,4.04,4.04,3.7054519999999997,5087500
2013-10-04,4.06,4.06,4.02,4.02,3.6871089999999995,1997000
2013-10-07,4.04,4.06,4.0,4.0,3.668765,2644600
2013-10-08,4.02,4.06,4.0,4.06,3.723796,3286600
2013-10-09,4.1,4.1,4.0,4.0,3.668765,3069400
2013-10-10,4.04,4.06,4.02,4.02,3.6871089999999995,7251700
2013-10-11,4.06,4.12,4.04,4.04,3.7054519999999997,8043200
2013-10-14,4.06,4.14,4.02,4.14,3.797171,14994700
2013-10-15,4.18,4.24,4.12,4.14,3.797171,30660400
2013-10-16,4.16,4.18,4.06,4.06,3.723796,13208200
2013-10-17,4.12,4.12,4.06,4.08,3.74214,10664100
2013-10-18,4.08,4.12,4.08,4.08,3.74214,1519800
2013-10-21,4.12,4.12,3.98,4.02,3.6871089999999995,6424800
2013-10-22,4.02,4.04,3.94,4.0,3.668765,3068700
2013-10-24,4.04,4.04,3.98,4.0,3.668765,2231300
2013-10-25,4.02,4.18,4.0,4.14,3.797171,15885100
2013-10-28,4.16,4.2,4.08,4.08,3.74214,10391600
2013-10-29,4.12,4.24,4.1,4.14,3.797171,29235400
2013-10-30,4.18,4.18,4.02,4.02,3.6871089999999995,8911800
2013-10-31,4.02,4.06,4.0,4.04,3.7054519999999997,4429100
2013-11-01,4.02,4.02,3.94,3.98,3.6504209999999997,6284300
2013-11-04,3.94,3.96,3.84,3.84,3.522014,7276200
2013-11-05,3.88,3.96,3.86,3.94,3.6137330000000003,3825500
2013-11-06,3.96,3.98,3.92,3.92,3.59539,2982800
2013-11-07,3.94,3.96,3.9,3.92,3.59539,2204800
2013-11-08,3.92,3.92,3.86,3.86,3.5403580000000003,2130500
2013-11-11,3.76,3.78,3.58,3.76,3.448639,8247200
2013-11-12,3.84,3.84,3.78,3.78,3.4669830000000004,2772700
2013-11-13,3.78,3.82,3.78,3.8,3.485327,1638800
2013-11-14,3.84,3.84,3.8,3.8,3.485327,2630400
2013-11-15,3.82,3.84,3.78,3.8,3.485327,1334000
2013-11-18,3.8,3.84,3.78,3.78,3.4669830000000004,1080100
2013-11-19,3.8,3.8,3.7,3.72,3.411951,2183800
2013-11-20,3.72,3.78,3.72,3.72,3.411951,1006900
2013-11-21,3.74,3.74,3.64,3.64,3.338576,2510400
2013-11-22,3.64,3.66,3.58,3.58,3.283544,2415300
2013-11-25,3.56,3.56,3.5,3.52,3.228513,1456900
2013-11-26,3.52,3.62,3.52,3.54,3.246857,878300
2013-11-27,3.56,3.6,3.54,3.6,3.301888,486700
2013-11-28,3.6,3.62,3.52,3.52,3.228513,885600
2013-11-29,3.54,3.56,3.52,3.54,3.246857,724200
2013-12-02,3.54,3.58,3.5,3.56,3.2652,716500
2013-12-03,3.56,3.68,3.56,3.62,3.320232,1180000
2013-12-04,3.66,3.7,3.6,3.6,3.301888,1747500
2013-12-06,3.62,3.64,3.54,3.54,3.246857,927800
2013-12-09,3.54,3.64,3.54,3.6,3.301888,1380800
2013-12-11,3.6,3.62,3.58,3.58,3.283544,516100
2013-12-12,3.58,3.66,3.56,3.56,3.2652,1300400
2013-12-13,3.5,3.54,3.46,3.52,3.2838589999999996,1939400
2013-12-16,3.52,3.52,3.42,3.44,3.2092259999999997,1178200
2013-12-17,3.44,3.48,3.44,3.44,3.2092259999999997,446000
2013-12-18,3.46,3.48,3.46,3.46,3.227884,253300
2013-12-19,3.46,3.48,3.44,3.44,3.2092259999999997,426000
2013-12-20,3.46,3.48,3.44,3.46,3.227884,1470900
2013-12-23,3.46,3.48,3.44,3.44,3.2092259999999997,12955500
2013-12-24,3.46,3.6,3.42,3.6,3.358492,33573900
2013-12-25,3.6,3.86,3.6,3.86,3.6010489999999997,40084700
2013-12-26,3.88,3.88,3.76,3.78,3.526417,31724800
2013-12-27,3.8,3.84,3.72,3.72,3.470442,29335200
2014-01-02,3.76,3.9,3.68,3.72,3.470442,18681100
2014-01-03,3.68,3.72,3.64,3.64,3.395808,3496600
2014-01-06,3.68,3.68,3.5,3.5,3.265201,7176600
2014-01-07,3.5,3.58,3.5,3.56,3.321175,4028100
2014-01-08,3.58,3.6,3.52,3.56,3.321175,4965700
2014-01-09,3.58,3.62,3.48,3.48,3.246542,4739200
2014-01-10,3.5,3.5,3.44,3.48,3.246542,3198700
2014-01-13,3.46,3.54,3.46,3.52,3.2838589999999996,3271100
2014-01-14,3.52,3.6,3.52,3.58,3.339833,4156300
2014-01-15,3.56,3.58,3.5,3.5,3.265201,4597500
2014-01-16,3.5,3.58,3.5,3.56,3.321175,4191600
2014-01-17,3.56,3.56,3.48,3.5,3.265201,5298400
2014-01-20,3.48,3.52,3.48,3.5,3.265201,7148400
2014-01-21,3.5,3.56,3.48,3.52,3.2838589999999996,12395600
2014-01-22,3.5,3.5,3.48,3.5,3.265201,12225600
2014-01-23,3.48,3.52,3.48,3.5,3.265201,10735400
2014-01-24,3.5,3.52,3.48,3.5,3.265201,13584600
2014-01-27,3.48,3.5,3.46,3.48,3.246542,13477400
2014-01-28,3.48,3.5,3.46,3.46,3.227884,12950800
2014-01-29,3.46,3.5,3.44,3.48,3.246542,20961700
2014-01-30,3.46,3.5,3.46,3.46,3.227884,19514100
2014-01-31,3.48,3.48,3.3,3.32,3.097276,12802200
2014-02-03,3.38,3.38,3.3,3.34,3.115934,5872000
2014-02-04,3.32,3.36,3.3,3.3,3.078618,5826600
2014-02-05,3.32,3.36,3.24,3.24,3.022643,7158700
2014-02-06,3.28,3.36,3.26,3.36,3.134593,7443600
2014-02-07,3.38,3.42,3.3,3.3,3.078618,5877700
2014-02-10,3.36,3.36,3.28,3.28,3.059959,4034700
2014-02-11,3.3,3.32,3.28,3.28,3.059959,3580000
2014-02-12,3.3,3.32,3.28,3.3,3.078618,3637300
2014-02-13,3.32,3.36,3.3,3.3,3.078618,5011000
2014-02-17,3.34,3.36,3.3,3.32,3.097276,5282700
2014-02-18,3.32,3.32,3.26,3.28,3.059959,4646200
2014-02-19,3.32,3.38,3.3,3.38,3.153251,8169500
2014-02-20,3.4,3.42,3.36,3.38,3.153251,11099300
2014-02-21,3.44,3.44,3.38,3.42,3.1905669999999997,10620800
2014-02-24,3.4,3.46,3.34,3.46,3.227884,13404700
2014-02-25,3.5,3.5,3.38,3.38,3.153251,13877500
2014-02-26,3.38,3.42,3.34,3.34,3.115934,10634700
2014-02-27,3.4,3.44,3.36,3.38,3.153251,11210200
2014-02-28,3.34,3.34,3.28,3.32,3.097276,8186000
2014-03-03,3.32,3.36,3.32,3.34,3.115934,5655100
2014-03-04,3.36,3.4,3.34,3.34,3.115934,4676900
2014-03-05,3.38,3.4,3.34,3.34,3.115934,4327800
2014-03-06,3.34,3.38,3.34,3.36,3.134593,5335900
2014-03-07,3.36,3.4,3.36,3.4,3.171909,5035300
2014-03-10,3.4,3.44,3.38,3.38,3.153251,5394200
2014-03-11,3.4,3.42,3.38,3.4,3.171909,6058000
2014-03-12,3.38,3.4,3.36,3.36,3.134593,4881100
2014-03-13,3.36,3.38,3.36,3.36,3.134593,1906800
2014-03-14,3.38,3.4,3.36,3.38,3.153251,3859000
2014-03-17,3.38,3.38,3.36,3.36,3.134593,12044300
2014-03-18,3.36,3.4,3.36,3.38,3.200883,21766800
2014-03-19,3.4,3.56,3.4,3.54,3.352404,27793100
2014-03-20,3.52,3.52,3.42,3.44,3.257704,15304200
2014-03-21,3.46,3.46,3.42,3.44,3.257704,10710700
2014-03-24,3.44,3.56,3.44,3.56,3.371344,23914500
2014-03-25,3.58,3.68,3.56,3.68,3.484985,21950100
2014-03-26,3.68,3.7,3.6,3.62,3.4281650000000004,7737500
2014-03-27,3.58,3.64,3.58,3.62,3.4281650000000004,4788900
2014-03-28,3.64,3.64,3.6,3.62,3.4281650000000004,4506500
2014-03-31,3.62,3.64,3.6,3.6,3.409225,4254900
2014-04-01,3.6,3.62,3.52,3.54,3.352404,10434500
2014-04-02,3.54,3.58,3.52,3.56,3.371344,6469000
2014-04-03,3.56,3.56,3.48,3.48,3.295584,6755300
2014-04-04,3.5,3.52,3.44,3.44,3.257704,889200
2014-04-08,3.44,3.48,3.4,3.42,3.238763,2875500
2014-04-09,3.44,3.46,3.4,3.44,3.257704,733100
2014-04-10,3.44,3.48,3.42,3.44,3.257704,468100
2014-04-11,3.46,3.48,3.44,3.46,3.2766439999999997,2531100
2014-04-16,3.46,3.5,3.46,3.48,3.295584,3001400
2014-04-17,3.46,3.5,3.46,3.48,3.295584,2226900
2014-04-18,3.48,3.5,3.46,3.48,3.295584,1358700
2014-04-21,3.5,3.58,3.48,3.56,3.371344,8248700
2014-04-22,3.6,3.6,3.54,3.56,3.371344,3342000
2014-04-23,3.56,3.62,3.56,3.58,3.390284,6953000
2014-04-24,3.62,3.66,3.6,3.66,3.466045,4887500
2014-04-25,3.66,3.66,3.58,3.62,3.4281650000000004,6912600
2014-04-28,3.58,3.6,3.52,3.58,3.390284,155100
2014-04-29,3.6,3.62,3.58,3.6,3.409225,1495000
2014-04-30,3.6,3.62,3.58,3.58,3.390284,894600
2014-05-02,3.58,3.6,3.54,3.56,3.371344,1500900
2014-05-06,3.54,3.56,3.48,3.48,3.295584,1494900
2014-05-07,3.46,3.58,3.46,3.54,3.352404,1728000
2014-05-08,3.5,3.5,3.44,3.46,3.2766439999999997,1502200
2014-05-09,3.46,3.46,3.4,3.4,3.219823,986600
2014-05-12,3.42,3.46,3.4,3.42,3.238763,323400
2014-05-14,3.42,3.46,3.42,3.44,3.257704,768400
2014-05-15,3.46,3.46,3.42,3.44,3.257704,714500
2014-05-16,3.42,3.46,3.42,3.42,3.238763,881300
2014-05-19,3.42,3.44,3.42,3.42,3.238763,794700
2014-05-20,3.4,3.4,3.38,3.4,3.219823,1634600
2014-05-21,3.4,3.44,3.4,3.4,3.219823,1583800
2014-05-22,3.44,3.44,3.4,3.4,3.219823,1008000
2014-05-23,3.3,3.38,3.3,3.38,3.200883,2805000
2014-05-26,3.38,3.4,3.36,3.38,3.200883,1649500
2014-05-27,3.38,3.42,3.38,3.4,3.219823,1369300
2014-05-28,3.42,3.46,3.42,3.42,3.238763,1161600
2014-05-29,3.44,3.52,3.44,3.46,3.2766439999999997,2882300
2014-05-30,3.48,3.52,3.46,3.52,3.3334639999999998,1594800
2014-06-02,3.5,3.54,3.5,3.5,3.3145239999999996,1133100
2014-06-03,3.52,3.56,3.5,3.5,3.3145239999999996,2789700
2014-06-04,3.52,3.56,3.5,3.54,3.352404,2738400
2014-06-05,3.56,3.64,3.54,3.6,3.409225,5328800
2014-06-06,3.62,3.66,3.52,3.6,3.409225,5120800
2014-06-09,3.62,3.7,3.6,3.64,3.447105,5014800
2014-06-10,3.64,3.8,3.64,3.74,3.541806,10282700
2014-06-11,3.8,3.82,3.74,3.74,3.541806,5188700
2014-06-12,3.78,3.88,3.76,3.82,3.6175660000000005,6959000
2014-06-13,3.84,3.84,3.74,3.74,3.541806,4392900
2014-06-16,3.82,3.82,3.74,3.76,3.560746,826600
2014-06-17,3.76,3.8,3.68,3.68,3.484985,2414100
2014-06-18,3.7,3.72,3.54,3.54,3.352404,4644600
2014-06-19,3.54,3.56,3.5,3.52,3.3334639999999998,3047300
2014-06-20,3.56,3.62,3.52,3.56,3.371344,1499300
2014-06-23,3.56,3.58,3.52,3.56,3.371344,1775900
