Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,45.25,45.5,45.0,45.0,26.419308,98100
2008-01-03,44.5,44.5,44.0,44.25,25.978989000000002,1002000
2008-01-04,44.25,44.25,43.5,43.75,25.685434,2068000
2008-01-07,43.75,44.0,43.5,43.5,25.53866,735300
2008-01-08,43.5,43.75,43.5,43.75,25.685434,768400
2008-01-09,43.5,43.5,43.25,43.5,25.53866,623300
2008-01-10,43.5,43.5,41.25,42.0,24.658016,2015400
2008-01-11,42.0,43.0,41.5,42.0,24.658016,1513900
2008-01-14,42.5,45.25,42.25,45.0,26.419308,3897300
2008-01-15,45.0,45.0,44.0,44.25,25.978989000000002,361100
2008-01-16,44.0,44.75,43.5,44.5,26.125757,1821900
2008-01-17,44.5,44.5,44.25,44.5,26.125757,2064700
2008-01-18,44.5,44.5,43.25,43.5,25.53866,1174200
2008-01-21,43.0,43.75,43.0,43.25,25.391897,1009500
2008-01-22,42.5,43.0,41.5,43.0,25.245117,989200
2008-01-23,43.75,43.75,41.75,42.0,24.658016,612900
2008-01-24,42.0,42.75,42.0,42.25,24.804794,173700
2008-01-25,42.25,42.5,42.0,42.0,24.658016,3617100
2008-01-28,42.0,42.25,41.75,42.0,24.658016,408700
2008-01-29,42.25,42.5,41.75,42.5,24.951560999999998,682000
2008-01-30,42.75,42.75,42.0,42.25,24.804794,1808800
2008-01-31,42.25,43.25,42.25,43.25,25.391897,3258900
2008-02-01,43.75,44.0,43.0,43.5,25.53866,672200
2008-02-04,43.75,43.75,43.25,43.5,25.53866,433500
2008-02-05,43.25,43.5,43.0,43.5,25.53866,1186100
2008-02-06,42.75,43.0,42.5,42.5,24.951560999999998,1690900
2008-02-07,42.25,42.75,42.25,42.75,25.098343,124800
2008-02-08,42.75,43.0,42.75,43.0,25.245117,125100
2008-02-11,43.25,43.25,42.25,42.5,24.951560999999998,644400
2008-02-12,42.5,42.75,42.5,42.75,25.098343,347000
2008-02-13,43.0,43.0,42.25,42.75,25.098343,1740800
2008-02-14,42.75,44.25,42.75,44.25,25.978989000000002,1074200
