Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,11.1,11.2,11.1,11.1,8.290491000000001,737000
2008-01-03,11.1,11.2,11.1,11.2,8.365179,995600
2008-01-04,11.2,11.3,11.1,11.3,8.439869999999999,1075500
2008-01-07,11.2,11.2,11.0,11.1,8.290491000000001,1016200
2008-01-08,11.0,11.2,11.0,11.2,8.365179,1111600
2008-01-09,11.1,11.1,11.1,11.1,8.290491000000001,1173200
2008-01-10,11.1,11.1,11.1,11.1,8.290491000000001,888200
2008-01-11,11.1,11.1,10.9,10.9,8.141112,920700
2008-01-14,11.0,11.0,10.9,10.9,8.141112,670300
2008-01-15,11.1,11.1,11.0,11.0,8.215802,844700
2008-01-16,11.0,11.1,11.0,11.1,8.290491000000001,1160000
2008-01-17,11.1,11.1,11.0,11.1,8.290491000000001,1087600
2008-01-18,11.0,11.0,10.9,11.0,8.215802,990800
2008-01-21,11.0,11.0,10.9,11.0,8.215802,1325000
2008-01-22,10.9,11.0,10.8,11.0,8.215802,1538200
2008-01-23,11.0,11.0,10.9,10.9,8.141112,967500
2008-01-24,10.9,11.0,10.8,10.9,8.141112,1060000
2008-01-25,10.9,10.9,10.9,10.9,8.141112,1226500
2008-01-28,10.9,10.9,10.9,10.9,8.141112,911600
2008-01-29,10.9,11.0,10.9,10.9,8.141112,950000
2008-01-30,10.9,11.0,10.9,10.9,8.141112,1092500
2008-01-31,11.0,11.0,10.9,10.9,8.141112,1990400
2008-02-01,10.9,11.0,10.8,11.0,8.215802,1854900
2008-02-04,11.0,11.1,11.0,11.0,8.215802,1123900
2008-02-05,10.9,11.0,10.9,11.0,8.215802,1057000
2008-02-06,10.9,11.0,10.9,11.0,8.215802,702000
2008-02-07,10.9,10.9,10.8,10.9,8.141112,325000
2008-02-08,11.0,11.0,10.9,10.9,8.141112,310000
2008-02-11,10.9,10.9,10.7,10.9,8.141112,794300
2008-02-12,10.9,11.0,10.9,10.9,8.141112,907500
2008-02-13,10.9,10.9,10.9,10.9,8.141112,286700
2008-02-14,10.8,10.9,10.8,10.9,8.141112,1427300
2008-02-15,10.8,10.8,10.7,10.7,7.991733999999999,786100
2008-02-18,10.8,10.8,10.7,10.7,7.991733999999999,887300
2008-02-19,10.8,10.9,10.8,10.9,8.141112,761700
2008-02-20,10.8,11.0,10.8,10.9,8.141112,850800
2008-02-22,10.8,10.9,10.8,10.9,8.141112,733300
2008-02-25,10.9,10.9,10.8,10.9,8.141112,500000
2008-02-26,11.0,11.0,10.9,10.9,8.141112,180100
2008-02-27,10.9,11.0,10.9,11.0,8.215802,598400
2008-02-28,11.0,11.2,11.0,11.2,8.365179,848800
2008-02-29,11.2,11.2,11.1,11.2,8.365179,541900
2008-03-03,11.1,11.3,11.1,11.2,8.365179,884900
2008-03-04,11.2,11.4,11.2,11.4,8.514559,715100
2008-03-05,11.4,11.9,11.4,11.8,8.813315,1215400
2008-03-06,11.8,11.8,11.7,11.8,8.813315,761700
2008-03-07,11.7,11.8,11.7,11.8,8.813315,1013100
2008-03-10,11.8,11.8,11.6,11.7,8.738626,676500
2008-03-11,11.7,11.7,11.7,11.7,8.738626,371800
2008-03-12,11.7,11.8,11.7,11.7,8.738626,373000
2008-03-13,11.6,11.7,11.6,11.7,8.738626,490000
2008-03-14,11.7,11.8,11.6,11.8,8.813315,468000
2008-03-17,11.7,11.8,11.7,11.8,8.813315,1094100
2008-03-18,11.7,11.8,11.7,11.8,8.813315,1032000
