Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,2.46667,2.46667,2.4474,2.4474,0.270798,510097
2008-01-03,2.4474,2.4474,2.4474,2.4474,0.270798,69535
2008-01-04,2.4281200000000003,2.46667,2.4281200000000003,2.4474,0.270798,423957
2008-01-07,2.4474,2.4474,2.40885,2.40885,0.266532,284368
2008-01-08,2.4281200000000003,2.4474,2.40885,2.4474,0.270798,141146
2008-01-09,2.4281200000000003,2.4281200000000003,2.40885,2.40885,0.266532,44108
2008-01-10,2.4281200000000003,2.4281200000000003,2.38958,2.38958,0.2644,224692
2008-01-11,2.38958,2.40885,2.38958,2.40885,0.266532,90811
2008-01-14,2.38958,2.40885,2.38958,2.40885,0.266532,49297
2008-01-15,2.38958,2.38958,2.3510400000000002,2.38958,0.2644,395416
2008-01-16,2.33177,2.37031,2.3125,2.37031,0.262268,296822
2008-01-17,2.37031,2.38958,2.3510400000000002,2.38958,0.2644,135957
2008-01-18,2.37031,2.37031,2.33177,2.37031,0.262268,244930
2008-01-21,2.3510400000000002,2.37031,2.3125,2.3125,0.255872,495049
2008-01-22,2.3125,2.3125,2.21615,2.25469,0.249475,374141
2008-01-23,2.25469,2.29323,2.23542,2.2739599999999998,0.251607,534487
2008-01-24,2.2739599999999998,2.2739599999999998,2.25469,2.25469,0.249475,522033
2008-01-25,2.2739599999999998,2.29323,2.25469,2.2739599999999998,0.251607,1107373
2008-01-28,2.25469,2.2739599999999998,2.23542,2.23542,0.24734299999999998,368951
2008-01-29,2.29323,2.29323,2.29323,2.29323,0.253739,37881
2008-01-30,2.3125,2.33177,2.29323,2.3125,0.255872,1732152
2008-01-31,2.40885,2.40885,2.29323,2.3510400000000002,0.26013600000000003,458724
2008-02-01,2.3510400000000002,2.37031,2.33177,2.3510400000000002,0.26013600000000003,393860
2008-02-04,2.3510400000000002,2.40885,2.3510400000000002,2.40885,0.266532,943395
2008-02-05,2.37031,2.38958,2.37031,2.37031,0.262268,95481
2008-02-06,2.33177,2.3510400000000002,2.3125,2.3510400000000002,0.26013600000000003,78357
2008-02-07,2.3510400000000002,2.3510400000000002,2.3510400000000002,2.3510400000000002,0.26013600000000003,93924
2008-02-08,2.33177,2.37031,2.33177,2.37031,0.262268,220022
2008-02-11,2.38958,2.40885,2.37031,2.40885,0.266532,998919
2008-02-12,2.40885,2.40885,2.38958,2.38958,0.2644,702097
2008-02-13,2.4281200000000003,2.4474,2.40885,2.4281200000000003,0.268665,529297
2008-02-14,2.4474,2.46667,2.4474,2.4474,0.270798,604022
