Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,14.6,14.6,14.2,14.2,8.477942,1032100
2008-01-03,14.1,14.2,14.0,14.0,8.358538000000001,1776300
2008-01-04,14.0,14.1,13.9,13.9,8.298831,2826900
2008-01-07,13.9,13.9,13.8,13.9,8.298831,2074500
2008-01-08,13.9,14.0,13.8,13.9,8.298831,1510100
2008-01-09,13.8,14.0,13.8,14.0,8.358538000000001,670800
2008-01-10,14.0,14.0,13.8,13.8,8.239128,1030100
2008-01-11,13.9,14.0,13.9,14.0,8.358538000000001,1102700
2008-01-14,14.0,14.1,13.7,13.8,8.239128,1428300
2008-01-15,13.9,13.9,13.5,13.5,8.060016000000001,1906700
2008-01-16,13.4,13.4,13.3,13.4,8.000314999999999,1679200
2008-01-17,13.4,13.6,13.3,13.3,7.940608999999999,4835400
2008-01-18,13.3,13.7,13.2,13.5,8.060016000000001,2177400
2008-01-21,13.7,14.1,13.4,13.4,8.000314999999999,3992100
2008-01-22,13.2,13.3,12.8,12.9,7.7017929999999994,5173800
2008-01-23,13.1,13.3,12.8,12.9,7.7017929999999994,5123800
2008-01-24,12.9,13.1,12.8,12.8,7.642092,1200100
2008-01-25,13.0,13.5,13.0,13.5,8.060016000000001,1982500
2008-01-28,13.3,13.4,13.1,13.2,7.880905,799400
2008-01-29,13.5,13.8,13.2,13.7,8.179423,2358600
2008-01-30,13.7,13.9,13.6,13.9,8.298831,2006300
2008-01-31,13.8,14.3,13.8,14.2,8.477942,5625000
2008-02-01,14.4,14.6,14.2,14.5,8.657055,5723400
2008-02-04,14.7,14.8,14.5,14.6,8.71676,4086200
2008-02-05,14.5,14.6,14.4,14.5,8.657055,1070100
2008-02-06,14.1,14.3,14.1,14.2,8.477942,1461400
2008-02-07,14.2,14.3,14.2,14.3,8.537647,322400
2008-02-08,14.5,14.8,14.5,14.6,8.71676,2649200
2008-02-11,14.7,15.0,14.7,14.7,8.776463,6881700
2008-02-12,14.8,15.5,14.8,15.4,9.194389,10523600
2008-02-13,15.4,15.9,15.4,15.6,9.313797000000001,17256000
2008-02-14,15.8,15.9,15.2,15.3,9.134686,6046100
2008-02-15,15.2,15.6,15.1,15.5,9.254096,3721200
2008-02-18,15.5,15.6,15.4,15.5,9.254096,690400
2008-02-19,15.5,15.9,15.5,15.7,9.373501,6191300
2008-02-20,15.7,15.7,15.1,15.4,9.194389,2841100
2008-02-22,15.4,15.4,15.2,15.3,9.134686,789700
2008-02-25,15.4,15.5,15.3,15.4,9.194389,1629200
2008-02-26,15.5,15.8,15.2,15.4,9.194389,4671900
2008-02-27,15.5,15.7,15.5,15.5,9.254096,4153200
2008-02-28,15.5,15.7,15.5,15.7,9.373501,1362000
2008-02-29,15.6,15.7,15.4,15.4,9.194389,2760500
2008-03-03,15.5,15.5,15.1,15.1,9.015277000000001,8314000
2008-03-04,15.2,15.4,15.0,15.1,9.015277000000001,4320100
2008-03-05,15.1,15.2,15.1,15.1,9.015277000000001,2179500
2008-03-06,15.1,15.3,15.1,15.1,9.015277000000001,1000600
2008-03-07,15.1,15.1,14.8,14.9,8.895872,1866600
2008-03-10,14.7,14.8,14.5,14.8,8.836165,3686900
2008-03-11,14.6,14.8,14.6,14.7,8.776463,1982100
2008-03-12,14.9,14.9,14.5,14.5,8.657055,10048300
2008-03-13,14.6,14.7,14.5,14.6,8.71676,2325700
