Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,39.25,39.25,38.5,38.5,34.009646999999994,591100
2008-01-03,38.25,38.5,37.5,37.75,33.347122,1623300
2008-01-04,37.5,38.0,37.5,37.75,33.347122,1705900
2008-01-07,36.0,36.0,35.25,35.5,32.929703,1244400
2008-01-08,35.5,35.5,33.75,34.25,31.77021,3292100
2008-01-09,34.0,34.0,33.0,33.0,30.610712,3102800
2008-01-10,33.0,33.0,31.5,31.5,29.219316,3861800
2008-01-11,31.75,33.25,31.5,33.0,30.610712,1754000
2008-01-14,32.5,33.25,32.25,33.0,30.610712,663100
2008-01-15,33.25,33.25,32.25,32.25,29.915012,1278800
2008-01-16,31.75,33.0,31.75,32.25,29.915012,930100
2008-01-17,32.25,33.5,32.25,33.5,31.074510999999998,1288300
2008-01-18,32.75,33.25,32.5,32.5,30.146914000000002,1290600
2008-01-21,32.75,33.5,32.0,32.0,29.683115,2280300
2008-01-22,31.0,31.5,29.75,30.0,27.827919,3246500
2008-01-23,31.0,31.0,29.75,30.0,27.827919,1417400
2008-01-24,30.25,31.0,30.25,30.25,28.059820000000002,1025100
2008-01-25,30.5,33.25,30.5,32.5,30.146914000000002,1869700
2008-01-28,32.0,32.25,30.5,31.0,28.755515999999997,684000
2008-01-29,31.75,32.0,31.25,31.5,29.219316,945600
2008-01-30,31.75,32.25,31.25,32.0,29.683115,887100
2008-01-31,32.0,34.0,32.0,33.5,31.074510999999998,3688600
2008-02-01,34.0,34.25,33.25,33.5,31.074510999999998,1622500
2008-02-04,34.0,34.25,33.75,33.75,31.306409999999996,1040100
2008-02-05,34.0,34.25,33.25,34.0,31.538309,885200
2008-02-06,33.25,33.75,33.0,33.75,31.306409999999996,516700
2008-02-07,33.75,34.0,33.25,33.5,31.074510999999998,139300
2008-02-08,34.0,34.5,33.75,34.25,31.77021,2627700
2008-02-11,34.25,34.25,33.75,34.0,31.538309,771500
2008-02-12,34.0,34.0,33.75,34.0,31.538309,527400
2008-02-13,34.0,34.0,33.25,33.75,31.306409999999996,1173400
2008-02-14,34.0,34.0,33.5,33.5,31.074510999999998,1396100
