Date,Open,High,Low,Close,Adj Close,Volume
2015-12-03,5.15,5.75,4.92,5.75,5.351466,739282600
2015-12-04,5.8,6.55,5.6,6.0,5.584137999999999,521159300
2015-12-08,6.15,6.35,6.0,6.1,5.677207,227951200
2015-12-09,6.2,6.7,6.1,6.7,6.23562,233490900
2015-12-11,7.1,8.6,7.1,8.45,7.8643279999999995,529718800
2015-12-14,8.6,8.65,7.45,7.6,7.073242,290989800
2015-12-15,7.75,9.55,7.75,9.55,8.888086999999999,389699700
2015-12-16,9.4,9.6,8.65,8.95,8.329673,242404600
2015-12-17,9.2,9.6,9.05,9.35,8.701948,214848700
2015-12-18,9.25,9.55,9.0,9.0,8.376206,149746400
2015-12-21,8.9,8.9,8.0,8.15,7.585121000000001,89215900
2015-12-22,8.3,8.95,8.25,8.95,8.329673,112415100
2015-12-23,9.15,9.15,8.45,8.45,7.8643279999999995,82416000
2015-12-24,8.6,8.75,8.4,8.45,7.8643279999999995,43621700
2015-12-25,8.45,8.5,8.05,8.15,7.585121000000001,37942500
2015-12-28,8.35,8.7,8.2,8.6,8.003932,64307200
2015-12-29,8.5,8.6,8.4,8.5,7.910863000000001,20457800
2015-12-30,8.5,9.05,8.5,8.55,7.957397,90740300
2016-01-04,8.55,8.6,8.3,8.3,7.724725,26293700
2016-01-05,8.4,8.6,8.3,8.4,7.817794,43248800
2016-01-06,8.3,8.45,8.2,8.2,7.631655,41646000
2016-01-07,8.1,8.4,8.05,8.1,7.538588000000001,30517500
2016-01-08,8.25,8.4,8.2,8.25,7.67819,12115700
2016-01-11,8.3,8.8,8.25,8.8,8.19007,49363900
2016-01-12,8.8,8.85,8.55,8.75,8.143535,47032000
2016-01-13,8.85,9.7,8.75,9.35,8.701948,193730200
2016-01-14,9.2,9.5,9.1,9.35,8.701948,72999000
2016-01-15,9.5,9.75,9.25,9.25,8.608881,70545700
2016-01-18,9.2,9.5,9.15,9.35,8.701948,42406100
2016-01-19,9.45,9.8,9.15,9.3,8.655414,90492100
2016-01-20,9.35,9.4,8.9,9.0,8.376206,32514400
2016-01-21,9.1,9.25,9.0,9.05,8.422742999999999,26229400
2016-01-22,9.15,9.35,9.05,9.35,8.701948,33573800
2016-01-25,9.4,9.4,9.2,9.2,8.562346,11489600
2016-01-26,9.2,9.45,9.1,9.3,8.655414,23167800
2016-01-27,9.4,9.7,9.3,9.3,8.655414,71347000
2016-01-28,9.4,9.5,9.3,9.4,8.748484,19886700
2016-01-29,9.55,10.5,9.5,10.3,9.586103999999999,119251200
2016-02-01,10.4,10.5,10.0,10.1,9.399967,37373800
2016-02-02,10.2,10.6,9.9,10.0,9.306896,112477800
2016-02-03,10.0,10.1,9.9,9.95,9.260363,22876400
2016-02-04,10.1,10.1,9.7,9.75,9.074225,20551400
2016-02-05,9.9,10.2,9.7,9.75,9.074225,27472400
2016-02-08,9.6,9.65,9.35,9.5,8.841553,8644700
2016-02-09,9.4,9.7,9.4,9.55,8.888086999999999,5152300
2016-02-10,9.5,9.65,9.45,9.5,8.841553,1787100
2016-02-11,9.5,9.55,9.0,9.0,8.376206,5327600
2016-02-12,9.05,9.1,8.2,9.0,8.376206,21137100
2016-02-15,8.95,8.95,8.75,8.85,8.236604,2803400
2016-02-16,8.8,8.85,8.45,8.65,8.050464999999999,4111100
2016-02-17,8.6,8.6,8.25,8.35,7.771259,4761400
2016-02-18,8.35,8.95,8.35,8.95,8.329673,9611400
2016-02-19,8.85,9.05,8.7,8.95,8.329673,3007900
2016-02-23,9.0,9.2,8.95,9.0,8.376206,2693800
2016-02-24,9.15,10.1,9.15,9.95,9.260363,28313600
2016-02-25,10.0,10.0,9.65,9.9,9.213828999999999,6330200
2016-02-26,9.9,10.0,9.7,9.85,9.167294,4483800
2016-02-29,9.65,9.85,9.5,9.7,9.027689,1748000
2016-03-01,9.7,10.0,9.65,9.9,9.213828999999999,6298400
2016-03-02,9.9,9.9,9.3,9.65,8.981154,6337300
2016-03-03,9.7,9.75,9.45,9.5,8.841553,3248700
2016-03-04,9.4,9.6,9.1,9.25,8.608881,5779200
2016-03-07,9.1,9.35,9.1,9.25,8.707725,1276100
2016-03-08,9.35,9.65,9.3,9.55,8.990138,5753600
2016-03-09,9.5,9.95,9.45,9.95,9.366686,10338600
2016-03-10,9.9,10.0,9.8,9.9,9.319617,3326200
2016-03-11,9.9,10.0,9.85,10.0,9.413756,2610300
2016-03-14,10.0,10.0,9.75,9.85,9.27255,3291200
2016-03-15,9.8,10.2,9.8,10.1,9.507893,5214700
2016-03-16,10.2,10.2,9.95,10.1,9.507893,3265100
2016-03-17,10.1,10.7,10.0,10.5,9.884443,19857800
2016-03-18,10.5,10.7,10.3,10.6,9.978581,12533900
2016-03-21,10.9,11.1,10.7,10.8,10.166858,45132800
2016-03-22,10.8,10.9,10.3,10.6,9.978581,20892600
2016-03-23,10.7,10.9,10.5,10.7,10.07272,14168000
2016-03-24,10.7,10.8,10.4,10.5,9.884443,5484400
2016-03-25,10.5,10.7,10.3,10.3,9.696169,7417700
2016-03-28,10.4,10.4,10.1,10.2,9.602031,4183500
2016-03-29,10.2,10.6,10.2,10.4,9.790305,9000400
2016-03-30,10.5,10.6,10.3,10.3,9.696169,6655500
2016-03-31,10.3,10.5,10.2,10.3,9.696169,7170700
2016-04-01,10.4,10.5,10.2,10.3,9.696169,5137100
2016-04-04,10.4,10.7,10.3,10.5,9.884443,22871500
2016-04-05,10.5,10.6,10.2,10.3,9.696169,8671500
2016-04-07,10.3,10.4,10.1,10.2,9.602031,7848000
2016-04-08,10.1,10.2,9.5,9.7,9.131343,13479500
2016-04-11,9.65,10.1,9.65,9.7,9.131343,7582500
2016-04-12,9.85,10.2,9.8,10.1,9.507893,18760900
2016-04-18,10.0,10.6,10.0,10.5,9.884443,18770900
2016-04-19,10.6,10.8,10.4,10.4,9.790305,9641000
2016-04-20,10.4,10.7,10.4,10.4,9.790305,8788800
2016-04-21,10.5,11.0,10.5,10.5,9.884443,26078500
2016-04-22,10.6,10.7,10.4,10.4,9.790305,8376100
2016-04-25,10.5,10.6,10.2,10.2,9.602031,6500200
2016-04-26,10.2,10.4,10.2,10.3,9.696169,6674700
2016-04-27,10.4,10.4,10.1,10.1,9.507893,4536600
2016-04-28,10.1,10.3,9.95,10.0,9.413756,6565200
2016-04-29,10.0,10.3,9.9,9.95,9.366686,9310800
2016-05-03,10.0,10.1,9.85,9.9,9.319617,6070400
2016-05-04,9.9,10.1,9.9,9.95,9.366686,5206200
2016-05-09,10.0,10.7,10.0,10.7,10.07272,24529100
2016-05-10,10.6,11.1,10.5,10.9,10.260992,38457400
2016-05-11,11.1,13.9,11.1,13.0,12.237883,164828000
2016-05-12,13.0,13.9,13.0,13.0,12.237883,65144800
2016-05-13,13.4,14.3,13.2,14.1,13.273396,75445900
2016-05-16,14.5,14.7,14.1,14.2,13.367535,59396600
2016-05-17,13.8,14.1,13.6,13.7,12.896846,27390900
2016-05-18,13.9,14.2,13.7,13.9,13.08512,26323100
2016-05-19,13.9,13.9,13.5,13.5,12.70857,13815500
2016-05-23,13.6,13.8,13.5,13.5,12.70857,10576700
2016-05-24,13.7,14.4,13.6,14.4,13.555807999999999,48485700
2016-05-25,14.6,14.7,14.0,14.2,13.367535,44105500
2016-05-26,14.2,14.3,14.0,14.1,13.273396,19824700
2016-05-27,14.1,14.4,14.1,14.2,13.367535,18983600
2016-05-30,14.3,14.3,14.1,14.2,13.367535,8415000
2016-05-31,14.3,14.6,14.2,14.3,13.461672,20192900
2016-06-01,14.4,15.2,14.3,15.0,14.120635,64894700
2016-06-02,15.0,15.1,14.6,15.0,14.120635,21645900
2016-06-03,15.1,16.4,15.0,16.0,15.062009,57522100
2016-06-06,15.8,17.299999,15.8,17.299999,16.285797,26332200
2016-06-07,17.4,17.9,16.700001,17.200001,16.191662,17562800
2016-06-08,17.1,17.1,16.299999,17.0,16.003386,6086800
2016-06-09,16.299999,16.700001,16.0,16.299999,15.344420999999999,28381700
2016-06-10,16.1,16.200001,15.2,15.4,14.497182,18084200
2016-06-13,15.0,15.8,15.0,15.6,14.685459,7912600
2016-06-14,15.5,16.200001,15.5,16.0,15.062009,5756100
2016-06-15,16.0,16.1,15.6,15.9,14.967870999999999,2887200
2016-06-16,16.0,16.0,15.5,15.8,14.873735,2969300
2016-06-17,15.7,16.200001,15.6,16.200001,15.250286,4832500
2016-06-20,16.200001,16.299999,15.9,16.0,15.062009,3480400
2016-06-21,16.1,16.299999,15.7,16.0,15.062009,4381200
2016-06-22,16.0,16.1,15.6,15.6,14.685459,2527600
2016-06-23,15.6,15.8,15.6,15.6,14.685459,1692600
2016-06-24,15.5,15.6,15.0,15.4,14.497182,7420100
2016-06-27,15.4,16.299999,15.4,16.200001,15.250286,7233100
2016-06-28,16.4,16.700001,16.200001,16.6,15.626837,7138300
2016-06-29,16.700001,17.200001,16.700001,17.1,16.097525,13398100
2016-06-30,17.200001,17.299999,16.9,17.299999,16.285797,4903700
2016-07-04,17.4,18.799999,17.299999,18.6,17.509588,18110100
2016-07-05,18.6,18.6,18.0,18.4,17.321312,7119100
2016-07-06,18.200001,19.299999,18.1,19.200001,18.074413,13700000
2016-07-07,19.299999,19.299999,18.5,19.0,17.886136999999998,8311400
2016-07-08,18.9,18.9,18.299999,18.5,17.415449,5631900
2016-07-11,18.6,19.200001,18.5,19.1,17.980276,3638200
2016-07-12,19.1,20.0,18.9,19.9,18.733372,10229500
2016-07-13,20.0,20.0,18.6,18.9,17.792,14201100
2016-07-14,18.9,19.4,18.700001,19.299999,18.168549,6918600
2016-07-15,19.1,19.5,18.1,18.6,17.509588,15690000
2016-07-20,18.299999,18.700001,17.9,18.5,17.415449,9741600
2016-07-21,18.4,18.799999,18.4,18.5,17.415449,4294900
2016-07-22,18.5,18.6,18.1,18.4,17.321312,4172900
2016-07-25,18.4,18.5,18.200001,18.4,17.321312,2785500
2016-07-26,18.299999,18.6,18.299999,18.4,17.321312,3128000
2016-07-27,18.200001,19.4,18.200001,19.0,17.886136999999998,8818200
2016-07-28,19.0,19.299999,18.9,19.0,17.886136999999998,2658100
2016-07-29,19.0,19.5,19.0,19.4,18.262686,7051100
2016-08-01,19.5,19.5,18.9,19.0,17.886136999999998,6786400
2016-08-02,18.799999,18.9,18.5,18.700001,17.603725,6374100
2016-08-03,18.5,19.0,18.5,19.0,17.886136999999998,5292100
2016-08-04,19.1,19.200001,18.799999,19.1,17.980276,6247500
2016-08-05,19.1,20.6,19.1,20.5,19.298199,23621200
2016-08-08,20.200001,21.799999,20.200001,21.799999,20.521984,17961100
2016-08-09,21.799999,21.9,21.299999,21.799999,20.521984,6566000
2016-08-10,22.0,23.9,21.6,23.4,22.028189,30316200
2016-08-11,23.4,23.799999,23.1,23.4,22.028189,7260300
2016-08-15,23.299999,23.799999,23.1,23.6,22.216465,3163100
2016-08-16,23.4,23.6,22.299999,22.6,21.275089,9303400
2016-08-17,22.6,23.4,22.5,23.1,21.745777,5082200
2016-08-18,23.299999,23.799999,23.200001,23.4,22.028189,4475700
2016-08-19,23.4,23.6,23.1,23.299999,21.93405,2348400
2016-08-22,23.1,23.299999,22.6,23.1,21.924561999999998,2270100
2016-08-23,23.0,24.700001,23.0,24.5,23.253321,12737300
2016-08-24,23.5,24.0,23.200001,23.5,22.304207,19243000
2016-08-25,23.5,23.799999,23.4,23.6,22.399117999999998,4899500
2016-08-26,23.6,23.799999,23.200001,23.299999,22.114384,5865300
2016-08-29,23.200001,23.299999,22.0,22.6,21.450003,12132600
2016-08-30,22.700001,23.4,22.6,23.1,21.924561999999998,6273700
2016-08-31,23.200001,23.200001,22.799999,23.200001,22.019474,2491700
2016-09-01,23.200001,23.200001,22.9,23.0,21.829649,2271000
2016-09-02,22.799999,23.0,22.1,22.5,21.355091,9382000
2016-09-05,22.1,22.4,19.299999,20.9,19.836506,15872600
2016-09-06,21.0,21.799999,20.5,21.700001,20.5958,9517300
2016-09-07,21.5,22.1,20.9,21.0,19.931417,6906300
2016-09-08,21.0,21.200001,19.5,19.6,18.602657,10190600
2016-09-09,19.299999,19.6,18.0,19.200001,18.223013,13395100
2016-09-12,18.299999,18.9,18.1,18.200001,17.273897,6123300
2016-09-13,18.799999,19.1,18.200001,18.9,17.938276000000002,16071600
2016-09-14,18.799999,19.5,18.4,19.4,18.412832,12619500
2016-09-15,19.6,20.200001,19.5,20.0,18.982304,8776000
2016-09-16,20.1,20.299999,19.799999,20.1,19.077215,3812700
2016-09-19,21.200001,22.5,21.200001,22.5,21.355091,41312800
2016-09-20,22.4,22.5,21.6,21.700001,20.5958,37263800
2016-09-21,22.1,22.4,21.700001,21.700001,20.5958,22182300
2016-09-22,22.200001,22.299999,21.700001,22.0,20.880533,10634800
2016-09-23,22.0,22.0,21.299999,21.4,20.311064000000002,19454100
2016-09-26,21.1,21.9,21.1,21.9,20.785624,14825900
2016-09-27,22.0,22.5,21.9,21.9,20.785624,24298600
2016-09-28,22.1,22.299999,21.6,21.700001,20.5958,10321400
2016-09-29,21.9,22.0,21.299999,21.4,20.311064000000002,13602100
2016-09-30,21.200001,21.5,20.5,20.5,19.456861,24258800
2016-10-03,20.799999,21.1,20.700001,20.799999,19.741594,10056700
2016-10-04,21.1,21.5,20.799999,21.5,20.405977,10446100
2016-10-05,21.5,21.5,21.0,21.1,20.026331,8129400
2016-10-06,21.200001,21.6,21.200001,21.299999,20.216151999999997,11616700
2016-10-07,21.299999,21.5,21.200001,21.200001,20.121243,5203600
2016-10-10,19.5,20.799999,19.4,20.200001,19.172125,14893600
2016-10-11,20.700001,20.700001,19.6,19.9,18.887392000000002,8032700
2016-10-12,19.700001,20.200001,17.6,19.4,18.412832,24704400
2016-10-13,19.0,20.4,18.799999,20.200001,19.172125,23066800
2016-10-14,21.200001,22.299999,20.799999,22.200001,21.070356,29958100
2016-10-17,22.0,23.4,21.700001,23.4,22.209295,28169300
2016-10-18,23.4,23.6,22.799999,22.9,21.734735,14521500
2016-10-19,23.0,24.1,22.9,23.700001,22.49403,31205900
2016-10-20,23.799999,24.299999,23.6,23.9,22.683853,26370100
2016-10-21,24.0,24.4,23.799999,24.1,22.873673999999998,13832100
2016-10-25,24.0,26.5,23.9,26.5,25.151552,33781100
