Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,2.98,2.98,2.82,2.9,2.339212,500
2008-01-03,2.82,2.82,2.8,2.8,2.2585490000000004,5500
2008-01-04,2.94,2.94,2.72,2.72,2.19402,99900
2008-01-07,2.76,2.76,2.7,2.7,2.1778869999999997,71700
2008-01-08,2.8,2.8,2.7,2.74,2.210152,86900
2008-01-09,2.74,2.78,2.7,2.74,2.210152,30800
2008-01-10,2.98,2.98,2.68,2.72,2.19402,433700
2008-01-11,2.86,2.86,2.6,2.76,2.226284,39200
2008-01-14,2.7,2.8,2.7,2.7,2.1778869999999997,127800
2008-01-15,2.74,2.74,2.7,2.7,2.1778869999999997,89700
2008-01-16,2.7,2.72,2.64,2.72,2.19402,900
2008-01-17,2.72,2.72,2.68,2.72,2.19402,55700
2008-01-18,2.72,2.72,2.62,2.7,2.1778869999999997,7300
2008-01-21,2.72,2.94,2.64,2.7,2.1778869999999997,87600
2008-01-22,2.6,2.68,2.58,2.68,2.161755,90100
2008-01-23,2.66,2.66,2.6,2.6,2.097224,46100
2008-01-24,2.64,2.64,2.5,2.5,2.016562,216500
2008-01-25,2.5,2.6,2.5,2.6,2.097224,23300
2008-01-28,2.6,2.62,2.42,2.52,2.032694,24000
2008-01-29,2.6,2.6,2.52,2.58,2.081092,400
2008-01-30,2.92,2.92,2.54,2.68,2.161755,22500
2008-01-31,2.64,2.78,2.64,2.74,2.210152,107400
2008-02-01,2.72,2.82,2.72,2.78,2.2424169999999997,384500
2008-02-04,2.8,2.82,2.66,2.7,2.1778869999999997,141000
2008-02-05,2.72,2.74,2.68,2.74,2.210152,292900
2008-02-06,2.74,2.74,2.66,2.66,2.145622,15300
2008-02-07,2.66,2.66,2.54,2.58,2.081092,542100
2008-02-08,2.64,2.72,2.58,2.7,2.1778869999999997,649000
2008-02-11,2.72,2.9,2.62,2.8,2.2585490000000004,815000
2008-02-12,2.8,2.86,2.78,2.84,2.290814,452400
2008-02-13,2.84,2.88,2.8,2.8,2.2585490000000004,80300
2008-02-14,2.82,2.82,2.76,2.82,2.274682,210800
2008-02-15,2.8,2.8,2.7,2.78,2.2424169999999997,43500
2008-02-18,2.74,2.8,2.72,2.78,2.2424169999999997,38700
2008-02-19,2.8,2.88,2.72,2.82,2.274682,593800
2008-02-20,2.78,2.82,2.76,2.8,2.2585490000000004,284300
2008-02-22,2.8,2.84,2.8,2.84,2.290814,15100
2008-02-25,2.8,2.82,2.78,2.8,2.2585490000000004,21900
2008-02-26,2.82,3.02,2.82,3.02,2.436007,3280700
2008-02-27,3.08,3.08,2.92,2.94,2.371477,976300
2008-02-28,3.0,3.02,2.96,2.96,2.387609,577300
2008-02-29,2.94,2.98,2.9,2.9,2.339212,64500
2008-03-03,2.9,2.9,2.9,2.9,2.339212,56300
2008-03-04,2.9,2.9,2.8,2.8,2.2585490000000004,142800
2008-03-05,2.78,2.88,2.78,2.88,2.323079,54300
2008-03-06,2.88,2.88,2.86,2.86,2.306946,26200
2008-03-07,2.86,2.86,2.76,2.86,2.306946,93300
2008-03-10,2.76,2.76,2.76,2.76,2.226284,24000
2008-03-11,2.76,2.76,2.74,2.74,2.210152,26800
2008-03-12,2.76,2.84,2.76,2.84,2.290814,200
2008-03-13,2.76,2.76,2.74,2.74,2.210152,15000
2008-03-14,2.74,2.8,2.74,2.8,2.2585490000000004,17700
2008-03-18,2.84,2.84,2.76,2.76,2.226284,0
2008-03-19,2.76,2.76,2.72,2.72,2.19402,43800
2008-03-20,2.7,2.72,2.7,2.72,2.19402,34700
2008-03-21,2.8,2.8,2.72,2.72,2.19402,0
2008-03-24,2.74,2.84,2.66,2.84,2.290814,39800
2008-03-25,2.78,2.84,2.76,2.76,2.226284,24200
2008-03-26,2.8,2.84,2.8,2.84,2.290814,200
2008-03-27,2.76,2.84,2.74,2.84,2.290814,26100
2008-03-28,2.8,2.82,2.74,2.74,2.290814,77200
2008-03-31,2.74,2.78,2.74,2.74,2.290814,22000
2008-04-01,2.74,2.8,2.74,2.78,2.324257,18500
2008-04-02,2.78,2.9,2.78,2.9,2.424585,264000
2008-04-03,2.9,2.9,2.84,2.88,2.4078630000000003,64600
2008-04-04,2.86,2.86,2.78,2.86,2.391141,90200
2008-04-08,2.8,2.86,2.74,2.86,2.391141,73100
2008-04-09,2.84,2.88,2.8,2.84,2.37442,63700
2008-04-10,2.8,2.8,2.8,2.8,2.340978,26700
2008-04-11,2.78,2.8,2.62,2.8,2.340978,210400
2008-04-16,2.72,2.78,2.68,2.7,2.257372,153000
2008-04-17,2.72,2.76,2.72,2.72,2.274093,3300
2008-04-18,2.72,2.74,2.68,2.68,2.2406509999999997,124600
2008-04-21,2.68,2.74,2.68,2.7,2.257372,107200
