Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,5.6,5.65,5.2,5.2,5.03728,421799500
2017-04-11,5.25,5.3,5.15,5.3,5.134151,95618500
2017-04-12,5.25,5.35,5.25,5.3,5.134151,37525500
2017-04-17,5.3,5.3,5.2,5.2,5.03728,15483000
2017-04-18,5.25,5.45,5.2,5.25,5.085715,115172000
2017-04-19,5.25,5.25,5.2,5.2,5.03728,16959500
2017-04-20,5.25,5.3,5.2,5.3,5.134151,31237000
2017-04-21,5.3,5.35,5.25,5.25,5.085715,17427500
2017-04-24,5.25,5.3,5.25,5.25,5.085715,16391000
2017-04-25,5.25,5.3,5.2,5.25,5.085715,15290000
2017-04-26,5.3,5.3,5.25,5.25,5.085715,4763000
2017-04-27,5.3,5.3,5.2,5.25,5.085715,4174500
2017-04-28,5.25,5.25,5.15,5.15,4.9888449999999995,14820000
2017-05-02,5.15,5.2,5.1,5.15,4.9888449999999995,11483000
2017-05-03,5.2,5.25,5.05,5.05,4.891973999999999,18418500
2017-05-04,5.1,5.15,5.05,5.05,4.891973999999999,4349000
2017-05-08,5.1,5.15,5.05,5.1,4.940409,4449500
2017-05-09,5.1,5.15,5.05,5.1,4.940409,6940500
2017-05-11,5.15,5.15,4.96,4.96,4.804790000000001,13425500
2017-05-12,5.0,5.05,4.96,5.05,4.891973999999999,10786000
2017-05-15,5.05,5.05,5.05,5.05,4.891973999999999,285000
2017-05-16,5.05,5.15,5.0,5.05,4.891973999999999,6269000
2017-05-17,5.1,5.1,5.05,5.05,4.891973999999999,1002000
2017-05-18,5.05,5.15,5.0,5.1,4.940409,7079500
2017-05-19,5.1,5.2,5.1,5.2,5.03728,9340500
2017-05-22,5.25,5.25,5.15,5.2,5.03728,2795000
2017-05-23,5.2,5.25,5.15,5.2,5.03728,5355000
2017-05-24,5.25,5.25,5.2,5.2,5.03728,2950000
2017-05-25,5.2,5.55,5.2,5.45,5.279457,115426000
2017-05-26,5.55,5.7,5.35,5.35,5.182586,162713000
2017-05-29,5.4,5.45,5.35,5.45,5.279457,19203000
2017-05-30,5.4,5.45,5.4,5.4,5.231021,6965000
2017-05-31,5.45,5.6,5.4,5.5,5.327891999999999,76589000
2017-06-01,5.55,5.75,5.5,5.55,5.376328,125289000
2017-06-02,5.55,5.6,5.5,5.5,5.327891999999999,10735500
2017-06-05,5.55,5.6,5.5,5.5,5.327891999999999,13230000
2017-06-06,5.55,5.6,5.5,5.5,5.327891999999999,10345000
2017-06-07,5.55,5.6,5.45,5.5,5.327891999999999,13046500
2017-06-08,5.55,5.8,5.55,5.75,5.570069,44631000
2017-06-09,5.75,5.95,5.7,5.9,5.715375,51598500
2017-06-12,5.9,5.95,5.7,5.75,5.570069,25798000
2017-06-13,5.75,5.85,5.7,5.8,5.618505,21133000
2017-06-14,5.85,5.9,5.8,5.85,5.66694,10098000
2017-06-15,5.85,6.0,5.85,5.85,5.66694,26761000
2017-06-16,5.85,5.9,5.7,5.75,5.570069,19900500
2017-06-19,5.75,5.9,5.75,5.85,5.66694,13571500
2017-06-20,5.85,5.85,5.8,5.8,5.618505,9164000
2017-06-21,5.8,6.0,5.8,5.95,5.7638110000000005,26134500
2017-06-22,5.9,6.15,5.9,6.1,5.909117,37008500
2017-06-23,6.15,6.25,6.1,6.15,5.957552,23271000
2017-06-26,6.15,6.2,6.1,6.2,6.005987999999999,9662000
2017-06-27,6.2,6.2,6.05,6.1,5.909117,12903000
2017-06-28,6.1,6.15,6.05,6.05,5.860682,5486500
2017-06-29,6.05,6.2,6.05,6.1,5.909117,23131000
2017-06-30,6.1,6.1,5.8,6.0,5.812246,21865500
2017-07-03,6.0,6.05,5.95,6.0,5.812246,9765500
2017-07-04,6.0,6.0,5.9,5.9,5.715375,7340500
2017-07-05,5.95,5.95,5.8,5.8,5.618505,10495500
2017-07-06,5.8,5.85,5.65,5.75,5.570069,28057000
2017-07-07,5.75,5.9,5.75,5.8,5.618505,19416000
2017-07-11,5.9,5.95,5.8,5.85,5.66694,11657000
2017-07-12,5.9,5.9,5.8,5.85,5.66694,19760500
2017-07-13,5.9,6.0,5.8,5.85,5.66694,19915400
2017-07-14,5.9,5.9,5.75,5.8,5.618505,10335900
2017-07-17,5.85,5.95,5.75,5.95,5.7638110000000005,11630500
2017-07-18,5.95,6.15,5.95,6.1,5.909117,25089100
2017-07-19,6.05,6.1,6.0,6.05,5.860682,15673900
2017-07-20,6.1,6.2,6.0,6.1,5.909117,13025700
2017-07-21,6.1,6.15,6.05,6.15,5.957552,11454800
2017-07-24,6.15,6.25,6.1,6.25,6.054423,20077200
2017-07-25,6.3,6.35,6.2,6.3,6.102859,11826400
2017-07-26,6.3,6.3,6.15,6.2,6.005987999999999,7180300
2017-07-27,6.25,6.25,6.15,6.2,6.005987999999999,6609900
2017-07-31,6.25,6.25,6.15,6.25,6.054423,5899000
2017-08-01,6.25,6.35,6.2,6.25,6.054423,8196700
2017-08-02,6.3,6.35,6.25,6.25,6.054423,5052200
2017-08-03,6.35,6.45,6.3,6.45,6.248164,21476200
2017-08-04,6.4,6.45,6.35,6.4,6.1997290000000005,4681100
2017-08-07,6.45,6.5,6.35,6.45,6.248164,8856100
2017-08-08,6.45,6.45,6.15,6.35,6.151294,19885700
2017-08-09,6.35,6.35,6.2,6.2,6.005987999999999,6728900
2017-08-10,6.2,6.35,6.15,6.35,6.151294,14013600
2017-08-11,6.35,6.35,6.1,6.2,6.005987999999999,20252600
2017-08-15,6.3,6.35,6.25,6.3,6.102859,7506900
2017-08-16,6.35,6.35,6.25,6.35,6.151294,4062300
2017-08-17,6.3,6.45,6.3,6.4,6.1997290000000005,8689900
2017-08-18,6.4,6.4,6.3,6.35,6.151294,3101800
2017-08-21,6.4,6.4,6.35,6.4,6.1997290000000005,3754900
2017-08-22,6.4,6.4,6.35,6.35,6.151294,3607200
2017-08-23,6.4,6.4,6.3,6.35,6.151294,3107300
2017-08-24,6.35,6.35,6.25,6.25,6.054423,3980900
2017-08-25,6.3,6.45,6.25,6.35,6.151294,15361000
2017-08-28,6.35,6.35,6.35,6.35,6.151294,551600
2017-08-29,6.35,6.5,6.35,6.45,6.248164,14256500
2017-08-30,6.45,6.5,6.35,6.4,6.1997290000000005,8712600
2017-08-31,6.35,6.45,6.35,6.45,6.248164,7466700
2017-09-01,6.45,6.45,6.4,6.4,6.1997290000000005,6741600
2017-09-04,6.4,6.4,6.3,6.35,6.151294,11957700
2017-09-05,6.35,6.4,6.2,6.35,6.151294,27283600
2017-09-06,6.35,6.55,6.3,6.5,6.2966,49201700
2017-09-07,6.55,6.75,6.5,6.65,6.4419059999999995,44760900
2017-09-08,6.65,6.7,6.6,6.6,6.393471,12149100
2017-09-11,6.65,6.65,6.5,6.5,6.2966,8510400
2017-09-12,6.55,6.55,6.35,6.45,6.248164,16690200
2017-09-13,6.45,6.5,6.3,6.4,6.1997290000000005,14560600
2017-09-14,6.4,6.45,6.35,6.4,6.1997290000000005,16331300
2017-09-15,6.45,6.5,6.4,6.45,6.248164,9159300
2017-09-18,6.45,6.5,6.3,6.35,6.151294,16980600
2017-09-19,6.4,6.45,6.3,6.35,6.151294,20380200
2017-09-20,6.4,6.6,6.35,6.55,6.345036,31069900
2017-09-21,6.55,6.65,6.5,6.5,6.2966,15899200
2017-09-22,6.5,6.55,6.4,6.4,6.1997290000000005,7756900
2017-09-25,6.4,6.5,6.35,6.45,6.248164,13718200
2017-09-26,6.5,6.9,6.5,6.9,6.684083,66493000
2017-09-27,7.0,7.2,6.75,6.8,6.587213,48175100
2017-09-28,6.75,6.95,6.7,6.9,6.684083,19965500
2017-09-29,6.9,7.0,6.8,7.0,6.7809539999999995,14937300
2017-10-02,7.0,7.2,7.0,7.05,6.829389,22010900
2017-10-03,7.1,7.15,6.95,7.1,6.877824,13691900
